# x	Curve1
1.13893e+15	1.49923e+26
1.24204e+15	2.4388e+26
1.35447e+15	4.30287e+26
1.4612e+15	6.45409e+26
1.59346e+15	1.13872e+27
1.73774e+15	1.85236e+27
1.87462e+15	3.01353e+27
2.04435e+15	4.90211e+27
2.22945e+15	7.97428e+27
2.40507e+15	1.2973e+28
2.62277e+15	2.28888e+28
2.86024e+15	3.72333e+28
3.11921e+15	6.05675e+28
3.36492e+15	9.85347e+28
3.66958e+15	1.60287e+29
4.00182e+15	2.60739e+29
4.31706e+15	4.24185e+29
4.70783e+15	7.48406e+29
5.13408e+15	1.21743e+30
5.59892e+15	1.9804e+30
6.03997e+15	3.22184e+30
6.58683e+15	5.24097e+30
7.1832e+15	8.52551e+30
7.83342e+15	1.50419e+31
8.45064e+15	2.2562e+31
9.21559e+15	3.98071e+31
1.005e+16	6.47543e+31
1.09599e+16	1.05336e+32
1.18232e+16	1.71367e+32
1.2894e+16	2.57017e+32
1.39094e+16	4.53508e+32
1.53342e+16	7.37652e+32
1.65421e+16	1.20005e+33
1.80399e+16	1.95213e+33
1.96736e+16	2.92782e+33
2.47001e+16	9.88037e+33
2.69364e+16	1.60724e+34
2.93758e+16	2.41055e+34
3.23856e+16	3.61501e+34
3.60966e+16	3.61156e+34
3.72971e+16	1.73824e+34
3.77111e+16	7.71494e+33
3.93851e+16	6.55571e+33
4.29502e+16	1.15665e+34
4.63326e+16	2.04091e+34
5.05266e+16	3.60086e+34
5.45068e+16	5.85809e+34
5.94407e+16	1.03357e+35
6.4123e+16	1.68146e+35
6.91729e+16	2.96696e+35
7.54344e+16	5.23471e+35
8.13766e+16	8.51613e+35
8.87427e+16	1.50253e+36
9.57333e+16	2.44441e+36
1.04399e+17	4.31276e+36
1.12623e+17	7.01626e+36
1.21492e+17	1.23802e+37
1.32492e+17	2.0139e+37
1.42926e+17	3.55353e+37
1.55867e+17	5.78054e+37
1.68145e+17	9.40413e+37
1.83365e+17	1.65921e+38
1.99967e+17	2.69903e+38
2.15719e+17	4.39095e+38
2.37821e+17	6.58494e+38
2.56599e+17	5.15751e+38
2.65138e+17	2.28866e+38
2.86024e+17	3.72333e+38
3.08549e+17	6.56983e+38
3.32855e+17	1.06882e+39
3.62984e+17	1.88576e+39
3.91578e+17	3.06786e+39
4.27023e+17	5.41274e+39
4.65686e+17	8.80493e+39
5.13408e+17	1.21743e+40
5.30473e+17	6.35526e+39
5.66129e+17	7.4719e+39
6.10725e+17	1.21557e+40
6.66007e+17	2.14468e+40
7.18471e+17	3.48909e+40
7.83521e+17	5.67572e+40
8.36282e+17	4.099e+40
8.92527e+17	4.09665e+40
9.62834e+17	6.66466e+40
1.04999e+18	1.17587e+41
1.13272e+18	1.76375e+41
1.20902e+18	1.17441e+41
1.30431e+18	1.62414e+41
1.42237e+18	2.86553e+41
1.55118e+18	4.29773e+41
1.62016e+18	2.63896e+41
1.76682e+18	4.65601e+41
1.906e+18	7.57467e+41
2.05649e+18	5.93271e+41
2.21853e+18	8.89875e+41
2.4194e+18	1.44756e+42
2.61043e+18	1.13377e+42
2.81607e+18	1.84449e+42
3.03819e+18	1.99921e+42
3.31339e+18	2.76452e+42
3.61359e+18	3.52459e+42
3.89862e+18	3.82024e+42
4.25193e+18	4.49061e+42
4.58704e+18	6.21024e+42
5.00293e+18	6.20549e+42
5.45589e+18	1.00945e+43
5.88635e+18	1.00877e+43
6.48994e+18	1.09318e+43
7.00144e+18	1.5118e+43
7.63579e+18	1.92745e+43
8.32793e+18	2.08893e+43
9.08264e+18	2.4555e+43
9.90574e+18	2.88638e+43
