# 2 empty lines are necessary
# 
  0.50000001E-01  0.50986037E-02  0.29389043E+01 -0.22925487E+01 -0.13010300E+01
  0.10000000E+00  0.53943524E-02  0.30088308E+01 -0.22680607E+01 -0.99999999E+00
  0.15000000E+00  0.53398064E-02  0.31385818E+01 -0.22724745E+01 -0.82390873E+00
  0.20000000E+00  0.55497516E-02  0.32193009E+01 -0.22557265E+01 -0.69897000E+00
  0.25000000E+00  0.58761072E-02  0.32749900E+01 -0.22309103E+01 -0.60205998E+00
  0.30000000E+00  0.60595315E-02  0.33542083E+01 -0.22175610E+01 -0.52287874E+00
  0.35000001E+00  0.63138648E-02  0.34133476E+01 -0.21997047E+01 -0.45593195E+00
  0.40000001E+00  0.64119257E-02  0.34980554E+01 -0.21930115E+01 -0.39794000E+00
  0.45000001E+00  0.64577801E-02  0.35928796E+01 -0.21899167E+01 -0.34678748E+00
  0.50000001E+00  0.66145519E-02  0.36650067E+01 -0.21794996E+01 -0.30102999E+00
  0.55000001E+00  0.67464031E-02  0.37423120E+01 -0.21709277E+01 -0.25963730E+00
  0.60000001E+00  0.68094937E-02  0.38345831E+01 -0.21668852E+01 -0.22184874E+00
  0.65000001E+00  0.70986740E-02  0.38735151E+01 -0.21488228E+01 -0.18708664E+00
  0.70000001E+00  0.73033779E-02  0.39275779E+01 -0.21364762E+01 -0.15490195E+00
  0.75000001E+00  0.75249414E-02  0.39750762E+01 -0.21234969E+01 -0.12493873E+00
  0.80000001E+00  0.76956023E-02  0.40314933E+01 -0.21137574E+01 -0.96910007E-01
  0.85000001E+00  0.77284328E-02  0.41169853E+01 -0.21119086E+01 -0.70581068E-01
  0.90000001E+00  0.78272644E-02  0.41888998E+01 -0.21063900E+01 -0.45757484E-01
  0.95000001E+00  0.78808792E-02  0.42716346E+01 -0.21034253E+01 -0.22276388E-01
  0.10000000E+01  0.81117686E-02  0.43140953E+01 -0.20908844E+01  0.64714920E-08
  0.10500000E+01  0.83650645E-02  0.43499101E+01 -0.20775307E+01  0.21189306E-01
  0.11000000E+01  0.84943883E-02  0.44107120E+01 -0.20708679E+01  0.41392692E-01
  0.11500000E+01  0.85807310E-02  0.44796976E+01 -0.20664757E+01  0.60697847E-01
  0.12000000E+01  0.87499028E-02  0.45295350E+01 -0.20579968E+01  0.79181253E-01
  0.12500000E+01  0.89621408E-02  0.45696996E+01 -0.20475882E+01  0.96910019E-01
  0.13000000E+01  0.92267226E-02  0.45986666E+01 -0.20349525E+01  0.11394336E+00
  0.13500000E+01  0.94430572E-02  0.46374870E+01 -0.20248874E+01  0.13033377E+00
  0.14000000E+01  0.93078787E-02  0.47507324E+01 -0.20311493E+01  0.14612804E+00
  0.14500000E+01  0.94206890E-02  0.48105315E+01 -0.20259173E+01  0.16136801E+00
  0.15000000E+01  0.94912938E-02  0.48791573E+01 -0.20226746E+01  0.17609127E+00
  0.15500000E+01  0.97185029E-02  0.49121541E+01 -0.20124006E+01  0.19033170E+00
  0.16000000E+01  0.99571542E-02  0.49418294E+01 -0.20018648E+01  0.20411999E+00
  0.16500000E+01  0.99092428E-02  0.50332119E+01 -0.20039595E+01  0.21748395E+00
  0.17000000E+01  0.99570999E-02  0.51045249E+01 -0.20018671E+01  0.23044893E+00
  0.17500000E+01  0.10068971E-01  0.51618105E+01 -0.19970149E+01  0.24303806E+00
  0.18000000E+01  0.10301498E-01  0.51920986E+01 -0.19870996E+01  0.25527251E+00
  0.18500000E+01  0.10615530E-01  0.52041704E+01 -0.19740583E+01  0.26717173E+00
  0.19000000E+01  0.10855368E-01  0.52313913E+01 -0.19643554E+01  0.27875361E+00
  0.19500000E+01  0.10843603E-01  0.53105878E+01 -0.19648264E+01  0.29003462E+00
  0.20000000E+01  0.10769076E-01  0.54037574E+01 -0.19678215E+01  0.30103000E+00
