#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	2239.4688	1019.0417	0.1497319423
-89	2197.552	977.1249	0.1435729364
-88	2035.5476	815.1205	0.1197689709
-87	2015.7451	795.318	0.116859309
-86	1959.335	738.9079	0.1085707435
-85	1907.2246	686.7975	0.1009139505
-84	1850.6572	630.2301	0.0926022723
-83	1791.0835	570.6564	0.0838488662
-82	1754.5004	534.0733	0.0784735625
-81	1712.4366	492.0095	0.0722929573
-80	1725.0416	504.6145	0.0741450612
-79	1671.3235	450.8964	0.0662520422
-78	1679.2095	458.7824	0.0674107643
-77	1664.5038	444.0767	0.065249996
-76	1601.1741	380.747	0.0559447055
-75	1604.0721	383.645	0.0563705205
-74	1558.4436	338.0165	0.0496661393
-73	1499.4647	279.0376	0.0410001297
-72	1505.9724	285.5453	0.0419563325
-71	1441.2698	220.8427	0.0324493163
-70	1492.7039	272.2768	0.0400067378
-69	1455.4369	235.0098	0.0345309459
-68	1464.2417	243.8146	0.035824671
-67	1495.4364	275.0093	0.0404082351
-66	1452.3979	231.9708	0.0340844133
-65	1407.0789	186.6518	0.0274255082
-64	1373.4714	153.0443	0.0224874216
-63	1355.9407	135.5136	0.0199115645
-62	1324.5901	104.163	0.0153050933
-61	1342.8224	122.3953	0.0179840393
-60	1289.6389	69.2118	0.0101695713
-59	1282.634	62.2069	0.0091403129
-58	1286.6473	66.2202	0.0097300034
-57	1281.071	60.6439	0.0089106549
-56	1272.8757	52.4486	0.0077064862
-55	1292.2144	71.7873	0.010548
-54	1279.8389	59.4118	0.0087296175
-53	1266.3821	45.955	0.0067523551
-52	1255.3004	34.8733	0.0051240758
-51	1306.6304	86.2033	0.0126662015
-50	1243.734	23.3069	0.0034245776
-49	1265.1248	44.6977	0.0065676149
-48	1272.6036	52.1765	0.0076665054
-47	1288.0793	67.6522	0.0099404129
-46	1286.7286	66.3015	0.0097419491
-45	1254.0009	33.5738	0.004933135
-44	1266.9912	46.5641	0.0068418526
-43	1290.7737	70.3466	0.0103363121
-42	1269.3074	48.8803	0.0071821813
-41	1254.1188	33.6917	0.0049504585
-40	1253.2379	32.8108	0.0048210243
-39	1220.4271	0	0
-38	1252.9585	32.5314	0.0047799709
-37	1264.8177	44.3906	0.0065224914
-36	1253.0024	32.5753	0.0047864213
-35	1282.4417	62.0146	0.0091120574
-34	1270.1128	49.6857	0.007300522
-33	1284.4404	64.0133	0.0094057346
-32	1245.3837	24.9566	0.0036669748
-31	1291.0701	70.643	0.0103798634
-30	1310.3446	89.9175	0.013211944
-29	1342.2134	121.7863	0.0178945565
-28	1340.5179	120.0908	0.0176454298
-27	1368.9918	148.5647	0.0218292157
-26	1395.3889	174.9618	0.025707849
-25	1384.4756	164.0485	0.0241043134
-24	1434.9344	214.5073	0.0315184302
-23	1471.5806	251.1535	0.0369030054
-22	1447.4557	227.0286	0.0333582357
-21	1504.5828	284.1557	0.0417521529
-20	1504.2286	283.8015	0.0417001089
-19	1533.818	313.3909	0.0460477998
-18	1528.9209	308.4938	0.0453282489
-17	1557.7579	337.3308	0.0495653867
-16	1583.4382	363.0111	0.0533386976
-15	1627.4465	407.0194	0.0598050161
-14	1715.0634	494.6363	0.0726789237
-13	1691.6492	471.2221	0.06923858
-12	1736.7239	516.2968	0.075861589
-11	1813.5597	593.1326	0.0871513857
-10	1868.5035	648.0764	0.0952245017
-9	1889.3075	668.8804	0.0982813181
-8	1915.4666	695.0395	0.1021249811
-7	2009.3976	788.9705	0.115926645
-6	2127.4241	906.997	0.1332687587
-5	2175.8594	955.4323	0.1403855544
-4	2262.0457	1041.6186	0.1530492581
-3	2406.5864	1186.1593	0.1742872111
-2	2399.5178	1179.0907	0.1732485929
-1	2505.7009	1285.2738	0.1888505078
0	2564.3284	1343.9013	0.1974648848
1	2684.1682	1463.7411	0.2150734341
2	2792.9902	1572.5631	0.2310630933
3	2767.7527	1547.3256	0.2273548447
4	2815.8369	1595.4098	0.2344200518
5	2903.0537	1682.6266	0.247235171
6	3031.6096	1811.1825	0.2661244124
7	3100.9304	1880.5033	0.2763099995
8	3140.4312	1920.0041	0.2821140127
9	3252.6577	2032.2306	0.2986039089
10	3431.9683	2211.5412	0.3249507448
11	3613.1384	2392.7113	0.3515708045
12	3599.2878	2378.8607	0.3495356795
13	3766.418	2545.9909	0.3740927997
14	3924.4724	2704.0453	0.3973163756
15	4098.2002	2877.7731	0.422842908
16	4263.9424	3043.5153	0.4471960836
17	4384.1157	3163.6886	0.4648536354
18	4506.3286	3285.9015	0.482810874
19	4690.3384	3469.9113	0.5098481824
20	4817.6724	3597.2453	0.528557885
21	4896.7446	3676.3175	0.540176285
22	4992.231	3771.8039	0.5542064902
23	5180.7197	3960.2926	0.5819019016
24	5369.3232	4148.8961	0.6096141811
25	5510.1431	4289.716	0.6303054219
26	5780.4849	4560.0578	0.6700278422
27	5895.0645	4674.6374	0.686863489
28	6003.8452	4783.4181	0.7028470797
29	6149.8101	4929.383	0.7242942962
30	6436.9912	5216.5641	0.7664909835
31	6654.9468	5434.5197	0.7985160864
32	6687.3887	5466.9616	0.8032829067
33	6938.3291	5717.902	0.8401546005
34	7274.4209	6053.9938	0.8895379358
35	7276.3008	6055.8737	0.8898141572
36	7443.6523	6223.2252	0.9144037939
37	7524.8447	6304.4176	0.9263337235
38	7562.5615	6342.1344	0.9318756063
39	7797.1904	6576.7633	0.966350585
40	7764.5171	6544.09	0.9615497642
41	7844.0317	6623.6046	0.9732331678
42	7912.7256	6692.2985	0.983326642
43	8024.4272	6804.0001	0.9997394124
44	8011.1982	6790.7711	0.9977956216
45	8000.1235	6779.6964	0.9961683709
46	8026.2007	6805.7736	1
47	8022.875	6802.4479	0.9995113414
48	7940.0581	6719.631	0.9873427174
49	7788.2129	6567.7858	0.9650314844
50	7666.5884	6446.1613	0.9471607019
51	7583.9707	6363.5436	0.9350213472
52	7570.1421	6349.715	0.9329894547
53	7446.9243	6226.4972	0.9148845621
54	7299.9307	6079.5036	0.8932861945
55	7167.7241	5947.297	0.873860541
56	6960.9805	5740.5534	0.8434828628
57	6714.1929	5493.7658	0.8072213569
58	6534.3994	5313.9723	0.7808035665
59	6319.0581	5098.631	0.7491625934
60	6296.9463	5076.5192	0.7459136166
61	6022.917	4802.4899	0.7056493769
62	5767.5073	4547.0802	0.6681209907
63	5672.4365	4452.0094	0.6541518513
64	5465.6846	4245.2575	0.6237729536
65	5315.6943	4095.2672	0.6017342687
66	5128.2783	3907.8512	0.5741964734
67	4967.0679	3746.6408	0.5505091736
68	4889.2856	3668.8585	0.5390803038
69	4685.5264	3465.0993	0.5091411357
70	4578.6709	3358.2438	0.4934404224
71	4404.0073	3183.5802	0.4677763892
72	4252.7178	3032.2907	0.4455468075
73	4115.3428	2894.9157	0.4253617399
74	3948.2542	2727.8271	0.4008107322
75	3731.5894	2511.1623	0.3689752918
76	3602.2803	2381.8532	0.3499753797
77	3451.5088	2231.0817	0.3278219099
78	3325.0469	2104.6198	0.3092403485
79	3261.1055	2040.6784	0.2998451785
80	3208.9604	1988.5333	0.2921832868
81	3007.7773	1787.3502	0.2626226356
82	2879.5825	1659.1554	0.2437864521
83	2814.623	1594.1959	0.2342416886
84	2730.1348	1509.7077	0.2218274936
85	2722.74	1502.3129	0.2207409456
86	2600.4368	1380.0097	0.2027704389
87	2501.4666	1281.0395	0.1882283448
88	2393.1077	1172.6806	0.1723067309
89	2301.8	1081.3729	0.1588905191
