#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	50.4839	41.5233	0.5762123157
-89	42.2636	33.303	0.462140503
-88	36.8019	27.8413	0.3863493495
-87	44.9697	36.0091	0.4996926279
-86	36.4273	27.4667	0.3811510841
-85	41.0325	32.0719	0.4450567216
-84	34.7556	25.795	0.3579531657
-83	38.8065	29.8459	0.414166869
-82	31.6832	22.7226	0.3153179532
-81	32.4956	23.535	0.3265915004
-80	28.59	19.6294	0.2723941023
-79	28.3647	19.4041	0.2692676496
-78	29.1371	20.1765	0.2799861232
-77	35.2309	26.2703	0.3645488291
-76	34.5282	25.5676	0.3547975716
-75	28.6277	19.6671	0.2729172593
-74	27.9443	18.9837	0.2634338248
-73	23.9217	14.9611	0.2076128361
-72	23.1358	14.1752	0.1967070252
-71	24.5246	15.564	0.2159791847
-70	17.6829	8.7223	0.1210379879
-69	16.3873	7.4267	0.10305915
-68	20.3218	11.3612	0.1576575889
-67	17.5597	8.5991	0.1193283608
-66	17.848	8.8874	0.1233290546
-65	15.1911	6.2305	0.0864596704
-64	14.2992	5.3386	0.0740829141
-63	15.097	6.1364	0.0851538595
-62	15.2051	6.2445	0.0866539462
-61	8.9606	0	0
-60	15.2289	6.2683	0.0869842151
-59	13.8165	4.8559	0.067384562
-58	13.1258	4.1652	0.0577998265
-57	14.6997	5.7391	0.0796405898
-56	16.2389	7.2783	0.1009998265
-55	17.8576	8.897	0.1234622723
-54	16.8803	7.9197	0.1099004337
-53	11.435	2.4744	0.0343368604
-52	8.9772	0.0166	0.0002303556
-51	16.4579	7.4973	0.1040388552
-50	15.6184	6.6578	0.0923892454
-49	14.483	5.5224	0.0766334779
-48	14.8368	5.8762	0.0815431049
-47	16.4907	7.5301	0.1044940156
-46	15.6569	6.6963	0.0929235039
-45	17.5497	8.5891	0.1191895924
-44	13.7595	4.7989	0.066593582
-43	11.7044	2.7438	0.0380752819
-42	14.2711	5.3105	0.0736929748
-41	13.6506	4.69	0.0650823938
-40	15.0124	6.0518	0.0839798786
-39	12.7634	3.8028	0.0527708586
-38	17.0913	8.1307	0.1128284475
-37	13.9622	5.0016	0.069406418
-36	11.868	2.9074	0.0403455334
-35	11.9828	3.0222	0.041938595
-34	14.3553	5.3947	0.074861405
-33	11.0923	2.1317	0.0295812663
-32	15.5982	6.6376	0.0921089332
-31	18.6899	9.7293	0.1350119688
-30	17.1698	8.2092	0.1139177797
-29	20.7174	11.7568	0.163147268
-28	12.9674	4.0068	0.0556017346
-27	15.1253	6.1647	0.0855465742
-26	19.1635	10.2029	0.1415840416
-25	15.3298	6.3692	0.0883843886
-24	19.376	10.4154	0.1445328708
-23	17.1109	8.1503	0.1131004337
-22	17.7657	8.8051	0.1221869905
-21	19.4285	10.4679	0.145261405
-20	18.938	9.9774	0.1384548135
-19	21.5178	12.5572	0.1742542931
-18	18.8428	9.8822	0.1371337381
-17	13.801	4.8404	0.0671694709
-16	17.8771	8.9165	0.1237328708
-15	24.2299	15.2693	0.2118896791
-14	20.313	11.3524	0.1575354727
-13	11.5054	2.5448	0.0353137901
-12	15.459	6.4984	0.0901772767
-11	16.426	7.4654	0.1035961839
-10	16.079	7.1184	0.0987809193
-9	16.98	8.0194	0.1112839549
-8	17.6171	8.6565	0.1201248916
-7	16.1162	7.1556	0.0992971379
-6	24.4493	15.4887	0.2149342585
-5	19.9645	11.0039	0.1526993929
-4	13.0461	4.0855	0.0566938422
-3	15.8971	6.9365	0.0962567216
-2	11.724	2.7634	0.038347268
-1	9.6169	0.6563	0.0091073721
