x,Curve1
188.951,116.008
217.073,142.204
245.195,168.399
301.455,213.306
333.611,235.759
365.767,258.212
397.923,280.665
430.079,303.119
458.209,325.572
490.365,348.025
522.521,370.478
554.677,392.931
586.841,411.642
618.997,434.096
651.153,456.549
683.309,479.002
711.439,501.455
743.595,523.909
775.751,546.362
807.907,568.815
840.062,591.268
872.218,613.721
904.383,632.432
940.564,654.886
972.729,673.597
1004.88,696.05
1041.07,718.503
1069.2,740.956
1105.39,759.667
1137.54,782.121
1157.64,797.089
1189.79,819.543
1221.95,841.996
1254.11,864.449
1286.26,886.902
1318.43,905.613
1350.58,928.067
1382.74,950.52
1414.89,972.973
1447.06,991.684
1483.25,1010.4
1515.4,1032.85
1547.56,1055.3
1579.72,1074.01
1611.88,1096.47
1644.04,1118.92
1676.19,1141.37
1708.35,1163.83
1740.5,1186.28
1756.58,1197.51
1788.74,1219.96
1820.89,1242.41
1853.05,1264.86
1881.18,1287.32
1913.33,1309.77
1945.49,1332.22
1977.64,1358.42
2005.78,1377.13
2037.92,1403.33
2070.08,1425.78
2102.24,1448.23
2134.39,1470.69
2162.52,1493.14
2194.68,1515.59
2226.83,1538.05
2254.96,1560.5
2287.12,1582.95
2327.31,1612.89
2359.47,1635.34
2387.6,1657.8
2419.75,1680.25
2451.9,1706.44
