#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
192	0.60904	0.65462	0.71175
192.1	0.60911	0.65466	0.71186
192.2	0.60917	0.6547	0.71198
192.3	0.60924	0.65475	0.71209
192.4	0.60931	0.6548	0.71221
192.5	0.60938	0.65485	0.71233
192.6	0.60945	0.6549	0.71245
192.7	0.60953	0.65495	0.71257
192.8	0.6096	0.655	0.71269
192.9	0.60968	0.65506	0.71281
193	0.60976	0.65511	0.71293
193.1	0.60984	0.65517	0.71306
193.2	0.60992	0.65523	0.71318
193.3	0.61001	0.6553	0.71331
193.4	0.61009	0.65536	0.71343
193.5	0.61018	0.65543	0.71356
193.6	0.61027	0.65549	0.71369
193.7	0.61036	0.65556	0.71381
193.8	0.61046	0.65563	0.71394
193.9	0.61055	0.65571	0.71407
194	0.61065	0.65578	0.7142
194.1	0.61075	0.65586	0.71434
194.2	0.61085	0.65594	0.71447
194.3	0.61095	0.65602	0.7146
194.4	0.61106	0.65611	0.71474
194.5	0.61117	0.65619	0.71487
194.6	0.61128	0.65628	0.71501
194.7	0.61139	0.65637	0.71514
194.8	0.6115	0.65646	0.71528
194.9	0.61161	0.65655	0.71542
195	0.61173	0.65665	0.71556
195.1	0.61185	0.65674	0.7157
195.2	0.61197	0.65684	0.71584
195.3	0.61209	0.65695	0.71598
195.4	0.61222	0.65705	0.71613
195.5	0.61234	0.65716	0.71627
195.6	0.61247	0.65726	0.71641
195.7	0.6126	0.65737	0.71656
195.8	0.61274	0.65749	0.71671
195.9	0.61287	0.6576	0.71685
196	0.61301	0.65772	0.717
196.1	0.61315	0.65784	0.71715
196.2	0.61329	0.65796	0.7173
196.3	0.61343	0.65808	0.71745
196.4	0.61358	0.65821	0.7176
196.5	0.61373	0.65834	0.71775
196.6	0.61388	0.65847	0.7179
196.7	0.61403	0.6586	0.71806
196.8	0.61418	0.65873	0.71821
196.9	0.61434	0.65887	0.71837
197	0.61449	0.65901	0.71852
197.1	0.61465	0.65915	0.71868
197.2	0.61481	0.65929	0.71884
197.3	0.61498	0.65943	0.719
197.4	0.61514	0.65958	0.71916
197.5	0.61531	0.65973	0.71932
197.6	0.61548	0.65988	0.71948
197.7	0.61565	0.66004	0.71964
197.8	0.61583	0.66019	0.7198
197.9	0.616	0.66035	0.71996
198	0.61618	0.66051	0.72013
198.1	0.61636	0.66067	0.72029
198.2	0.61654	0.66083	0.72046
198.3	0.61672	0.661	0.72062
198.4	0.61691	0.66117	0.72079
198.5	0.6171	0.66134	0.72096
198.6	0.61729	0.66151	0.72113
198.7	0.61748	0.66169	0.7213
198.8	0.61767	0.66186	0.72147
198.9	0.61787	0.66204	0.72164
199	0.61806	0.66222	0.72181
199.1	0.61826	0.6624	0.72198
199.2	0.61846	0.66259	0.72216
199.3	0.61866	0.66277	0.72233
199.4	0.61887	0.66296	0.72251
199.5	0.61907	0.66315	0.72268
199.6	0.61928	0.66334	0.72286
199.7	0.61949	0.66353	0.72303
199.8	0.6197	0.66373	0.72321
199.9	0.61991	0.66392	0.72339
200	0.62013	0.66412	0.72357
200.1	0.62034	0.66432	0.72375
200.2	0.62056	0.66453	0.72393
200.3	0.62078	0.66473	0.72411
200.4	0.621	0.66493	0.72429
200.5	0.62122	0.66514	0.72448
200.6	0.62144	0.66535	0.72466
200.7	0.62167	0.66556	0.72484
200.8	0.6219	0.66577	0.72503
200.9	0.62212	0.66598	0.72521
201	0.62235	0.6662	0.7254
201.1	0.62258	0.66642	0.72559
201.2	0.62282	0.66663	0.72578
201.3	0.62305	0.66685	0.72596
201.4	0.62329	0.66707	0.72615
201.5	0.62352	0.66729	0.72634
201.6	0.62376	0.66752	0.72653
201.7	0.624	0.66774	0.72672
201.8	0.62424	0.66797	0.72691
201.9	0.62448	0.66819	0.72711
202	0.62472	0.66842	0.7273
202.1	0.62497	0.66865	0.72749
202.2	0.62521	0.66888	0.72769
202.3	0.62546	0.66911	0.72788
202.4	0.6257	0.66934	0.72808
202.5	0.62595	0.66958	0.72827
202.6	0.6262	0.66981	0.72847
202.7	0.62645	0.67004	0.72867
202.8	0.6267	0.67028	0.72886
202.9	0.62695	0.67052	0.72906
203	0.6272	0.67076	0.72926
203.1	0.62746	0.67099	0.72946
203.2	0.62771	0.67123	0.72966
203.3	0.62797	0.67147	0.72986
203.4	0.62822	0.67171	0.73006
203.5	0.62848	0.67196	0.73026
203.6	0.62874	0.6722	0.73047
203.7	0.629	0.67244	0.73067
203.8	0.62925	0.67269	0.73087
203.9	0.62951	0.67293	0.73108
204	0.62977	0.67317	0.73128
204.1	0.63003	0.67342	0.73149
204.2	0.6303	0.67366	0.73169
204.3	0.63056	0.67391	0.7319
204.4	0.63082	0.67416	0.7321
204.5	0.63108	0.6744	0.73231
204.6	0.63135	0.67465	0.73252
204.7	0.63161	0.6749	0.73273
204.8	0.63187	0.67515	0.73293
204.9	0.63214	0.67539	0.73314
205	0.6324	0.67564	0.73335
205.1	0.63267	0.67589	0.73356
205.2	0.63293	0.67614	0.73377
205.3	0.6332	0.67639	0.73398
205.4	0.63346	0.67664	0.7342
205.5	0.63373	0.67688	0.73441
205.6	0.63399	0.67713	0.73462
205.7	0.63426	0.67738	0.73483
205.8	0.63453	0.67763	0.73504
205.9	0.63479	0.67788	0.73526
206	0.63506	0.67813	0.73547
206.1	0.63533	0.67838	0.73569
206.2	0.63559	0.67863	0.7359
206.3	0.63586	0.67887	0.73612
206.4	0.63612	0.67912	0.73633
206.5	0.63639	0.67937	0.73655
206.6	0.63666	0.67962	0.73676
206.7	0.63692	0.67987	0.73698
206.8	0.63719	0.68011	0.7372
206.9	0.63746	0.68036	0.73741
207	0.63772	0.68061	0.73763
207.1	0.63799	0.68085	0.73785
207.2	0.63825	0.6811	0.73807
207.3	0.63852	0.68135	0.73829
207.4	0.63878	0.68159	0.7385
207.5	0.63905	0.68184	0.73872
207.6	0.63931	0.68208	0.73894
207.7	0.63957	0.68233	0.73916
207.8	0.63984	0.68257	0.73938
207.9	0.6401	0.68281	0.7396
208	0.64036	0.68306	0.73982
208.1	0.64063	0.6833	0.74004
208.2	0.64089	0.68354	0.74027
208.3	0.64115	0.68378	0.74049
208.4	0.64141	0.68402	0.74071
208.5	0.64167	0.68426	0.74093
208.6	0.64193	0.6845	0.74115
208.7	0.64219	0.68474	0.74138
208.8	0.64245	0.68498	0.7416
208.9	0.64271	0.68522	0.74182
209	0.64297	0.68545	0.74204
209.1	0.64323	0.68569	0.74227
209.2	0.64349	0.68593	0.74249
209.3	0.64374	0.68616	0.74271
209.4	0.644	0.6864	0.74294
209.5	0.64426	0.68663	0.74316
209.6	0.64451	0.68687	0.74339
209.7	0.64477	0.6871	0.74361
209.8	0.64502	0.68733	0.74384
209.9	0.64527	0.68756	0.74406
210	0.64553	0.6878	0.74429
210.1	0.64578	0.68803	0.74451
210.2	0.64603	0.68826	0.74474
210.3	0.64628	0.68849	0.74496
210.4	0.64653	0.68871	0.74519
210.5	0.64678	0.68894	0.74541
210.6	0.64703	0.68917	0.74564
210.7	0.64728	0.6894	0.74586
210.8	0.64753	0.68962	0.74609
210.9	0.64778	0.68985	0.74632
211	0.64802	0.69007	0.74654
211.1	0.64827	0.6903	0.74677
211.2	0.64851	0.69052	0.74699
211.3	0.64876	0.69074	0.74722
211.4	0.649	0.69097	0.74745
211.5	0.64925	0.69119	0.74767
211.6	0.64949	0.69141	0.7479
211.7	0.64973	0.69163	0.74813
211.8	0.64997	0.69185	0.74835
211.9	0.65021	0.69207	0.74858
212	0.65045	0.69229	0.74881
212.1	0.65069	0.69251	0.74903
212.2	0.65093	0.69272	0.74926
212.3	0.65117	0.69294	0.74949
212.4	0.65141	0.69316	0.74971
