#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
192	0.7677	0.8205	0.8869
192.9999	0.7674	0.8181	0.8877
193.9999	0.7667	0.8157	0.8865
194.9998	0.7675	0.8163	0.8848
195.9997	0.767	0.8155	0.8847
196.9997	0.7667	0.8151	0.8845
197.9996	0.7658	0.8145	0.8837
198.9995	0.7653	0.8143	0.8827
199.9995	0.7648	0.8141	0.8825
200.9994	0.7641	0.8131	0.8823
201.9993	0.7637	0.8128	0.8827
202.9993	0.7628	0.8118	0.8823
203.9992	0.7614	0.811	0.8814
204.9991	0.7606	0.8101	0.8806
205.9991	0.7596	0.8095	0.8798
206.999	0.7587	0.8088	0.8796
207.9989	0.7574	0.807	0.8786
208.9989	0.7562	0.8061	0.8777
209.9988	0.7558	0.8058	0.8771
210.9987	0.7542	0.8046	0.8755
211.9987	0.7531	0.8027	0.8748
212.9986	0.7529	0.8025	0.8747
213.9985	0.753	0.8019	0.875
214.9984	0.7525	0.8013	0.8751
215.9984	0.7523	0.801	0.8756
216.9983	0.752	0.8015	0.8765
217.9982	0.7516	0.8014	0.8771
218.9982	0.7512	0.8009	0.8772
219.9981	0.7514	0.8007	0.8779
220.998	0.7513	0.8014	0.8782
221.998	0.7507	0.8014	0.8784
222.9979	0.7493	0.8016	0.8779
223.9978	0.7488	0.802	0.8777
224.9978	0.748	0.8014	0.8769
225.9977	0.7474	0.8009	0.8764
226.9976	0.7471	0.8011	0.8762
227.9976	0.7465	0.801	0.8761
228.9975	0.7461	0.8011	0.8759
229.9974	0.7455	0.8013	0.8761
230.9974	0.7456	0.8014	0.8762
231.9973	0.7455	0.8008	0.8761
232.9972	0.7452	0.8006	0.8762
233.9972	0.745	0.8006	0.8764
234.9971	0.7449	0.8006	0.8767
235.997	0.7446	0.8001	0.8767
236.997	0.7447	0.7998	0.877
237.9969	0.7449	0.8	0.8776
238.9968	0.745	0.8	0.8777
239.9968	0.7445	0.7995	0.8778
240.9967	0.7445	0.7995	0.8786
241.9966	0.7445	0.7991	0.8788
242.9966	0.7442	0.7989	0.8783
243.9965	0.7443	0.7989	0.8785
244.9964	0.7444	0.799	0.8785
245.9964	0.7445	0.7993	0.8787
246.9963	0.7438	0.7988	0.8786
247.9962	0.7437	0.7982	0.8792
248.9962	0.7437	0.7977	0.879
249.9961	0.7443	0.7979	0.8797
250.996	0.7442	0.7976	0.8799
251.996	0.744	0.7973	0.8811
252.9959	0.7434	0.7973	0.8815
253.9958	0.7431	0.7975	0.8825
254.9958	0.7426	0.7973	0.8825
255.9957	0.7428	0.7976	0.8832
256.9956	0.7425	0.7976	0.8829
257.9955	0.7422	0.7981	0.8832
258.9955	0.7409	0.7981	0.8824
259.9954	0.741	0.7986	0.883
260.9954	0.7413	0.7991	0.8831
261.9953	0.7418	0.7995	0.8833
262.9952	0.7422	0.7996	0.8833
263.9951	0.7424	0.8	0.8837
264.9951	0.7424	0.8003	0.884
265.995	0.7426	0.8007	0.8845
266.9949	0.7429	0.8008	0.8849
267.9949	0.7437	0.8012	0.8855
268.9948	0.7444	0.8018	0.886
269.9948	0.745	0.802	0.8866
270.9947	0.7456	0.8023	0.8871
271.9946	0.7455	0.8023	0.8871
272.9945	0.7458	0.8029	0.8873
273.9945	0.746	0.8029	0.8871
274.9944	0.7464	0.8035	0.8873
275.9943	0.747	0.8042	0.8881
276.9943	0.7474	0.8047	0.8885
277.9942	0.7471	0.8044	0.8883
278.9941	0.7473	0.8049	0.8882
279.9941	0.7474	0.8056	0.8882
280.994	0.7481	0.8061	0.889
281.9939	0.7486	0.8061	0.8894
282.9939	0.7494	0.8069	0.89
