# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0	-0.67212229999999	24.8657476	0.576185	0.0437741	22.8445587687697
0.001	-0.57708538927185	24.829720646491	0.575298	0.0436596	22.9044700363723
0.002	-0.48256643954442	24.793046883276	0.574411	0.043545	22.964749110116
0.003	-0.38857098742094	24.75573478281	0.573525	0.0434304	23.0253463012084
0.004	-0.29510441034523	24.717792859583	0.57264	0.0433156	23.0863707301757
0.005	-0.20217192682286	24.679229666783	0.571756	0.0432008	23.1477194866762
0.006	-0.10977859671781	24.640053792993	0.570873	0.043086	23.2093951631621
0.007	-0.017929321622389	24.600273858921	0.56999	0.042971	23.2715086919085
0.008	0.073371154700909	24.559898514161	0.569108	0.042856	23.3339555721486
0.009	0.16411824580701	24.518936433995	0.568226	0.042741	23.3967384946538
0.01	0.25430752198712	24.477396316232	0.567346	0.042626	23.4598601792333
0.011	0.34393470962061	24.435286878081	0.566466	0.0425109	23.5233787099309
0.012	0.43299569046135	24.392616853072	0.565587	0.0423957	23.5872977684058
0.013	0.52148650086066	24.349394988017	0.564709	0.0422806	23.6515092028022
0.014	0.60940333092781	24.305630040006	0.563832	0.0421655	23.7160711956457
0.015	0.69674252363068	24.261330773462	0.562955	0.0420503	23.7810431792401
0.016	0.78350057383794	24.216505957228	0.56208	0.0419352	23.8463152673649
0.017	0.86967412730441	24.171164361712	0.561205	0.0418201	23.9119466476646
0.018	0.95525997960169	24.125314756066	0.560331	0.041705	23.9779402949287
0.019	1.0402550749955	24.078965905429	0.559458	0.0415899	24.0442992168772
0.02	1.1246565052722	24.032126568208	0.558586	0.0414749	24.1109683205987
0.021	1.2084615085152	23.984805493414	0.557715	0.0413599	24.1780081673312
0.022	1.2916674678341	23.937011418048	0.556844	0.0412449	24.2454218582176
0.023	1.374271910048	23.888753064538	0.555975	0.04113	24.3131534159981
0.024	1.4562725043248	23.84003913823	0.555106	0.0410152	24.3812050166767
0.025	1.5376670607779	23.790878324929	0.554239	0.0409004	24.449638634341
0.026	1.6184535290228	23.741279288497	0.553372	0.0407857	24.5183973794737
