#x	Curve1
0.000103686	0.965293
0.000124226	0.965561
0.000148835	0.965829
0.000178319	0.966098
0.000213644	0.966366
0.000255966	0.966634
0.000306673	0.966903
0.000360852	0.950187
0.000432336	0.950451
0.000517982	0.950715
0.000620579	0.967951
0.000743515	0.968219
0.000890826	0.951507
0.0010673	0.951771
0.00127873	0.952036
0.00153201	0.969296
0.0018355	0.969565
0.00215977	0.952803
0.00258762	0.953067
0.00310022	0.953332
0.00371429	0.970615
0.00445019	0.953862
0.00523639	0.937371
0.00627372	0.937631
0.00751653	0.937892
0.00900576	0.921703
0.0107903	0.889911
0.0126972	0.844127
0.0152132	0.815011
0.0182269	0.815237
0.0214455	0.844807
0.0256932	0.860123
0.030783	0.860362
0.036882	0.845511
0.0433948	0.876179
0.0475012	0.84584
0.0539	0.940735
0.0611594	1.06495
0.0732734	1.08426
0.0846623	1.18479
0.0996078	1.27198
0.119346	1.2281
0.137927	1.12439
0.151	0.976157
0.174511	0.893725
0.205289	1.06693
0.241523	1.16589
0.310991	1.39204
0.316721	1.20838
0.340916	0.440912
0.341105	0.288386
0.347415	0.237399
0.353833	0.198915
0.394397	0.185357
0.431788	0.158098
0.481334	0.137259
0.546326	0.123461
0.654568	0.12133
0.756291	0.134946
0.858151	0.152764
0.956266	0.176016
1.04649	0.206422
1.12471	0.242072
1.23086	0.278911
1.58426	0.449842
1.76539	0.518313
1.96724	0.597205
2.19216	0.688106
2.39899	0.806971
2.62533	0.946368
2.87309	1.09039
3.08785	1.2787
3.37919	1.49959
3.63177	1.75858
3.97443	2.06236
4.27151	2.41855
4.67463	2.7866
5.11568	3.26797
5.49807	3.83237
6.01681	4.49438
6.46655	5.2706
7.07666	6.18105
7.60563	7.24858
8.32322	8.50071
