#x	Curve1
0.000144211	0.981598
0.000172729	0.982417
0.000206888	0.983236
0.000247812	0.966762
0.000296818	0.967568
0.000349145	0.985617
0.000418208	0.969102
0.000500912	0.96991
0.000589218	0.988003
0.000705769	0.971448
0.00084534	0.972258
0.00101251	0.973069
0.00121275	0.973881
0.00145258	0.974693
0.00173983	0.975506
0.0020839	0.97632
0.00249601	0.977134
0.00298961	0.977949
0.00358083	0.978765
0.00428897	0.979582
0.00513715	0.980399
0.00615331	0.963971
0.00723866	0.94774
0.00867016	0.948531
0.0103856	0.916246
0.0122184	0.869433
0.0141159	0.870013
0.0169082	0.855435
0.0202519	0.856149
0.023825	0.826939
0.0285388	0.798793
0.0341839	0.785409
0.0394865	0.8437
0.0456133	0.890389
0.0481564	0.844474
0.0546251	0.956632
0.0597639	1.10289
0.069048	1.08423
0.0812335	1.02883
0.0955353	1.14518
0.110354	1.23017
0.129794	1.32159
0.152651	1.44519
0.179562	1.47215
0.21508	1.44748
0.252977	1.52771
0.286958	1.73061
0.337533	1.79443
0.397116	1.67282
0.450709	1.47842
0.475951	1.26067
0.503286	0.588274
0.551485	0.339656
0.571979	0.284515
0.604012	0.242609
0.604228	0.206824
0.649687	0.176376
0.737219	0.17033
0.836213	0.196404
0.914879	0.226432
1.00091	0.26572
1.07544	0.311799
1.17656	0.3659
1.28725	0.421841
1.40829	0.495036
1.54071	0.58093
1.68565	0.669746
1.84415	0.785955
2.01764	0.906117
2.24764	1.04474
2.45908	1.20446
2.7393	1.41357
2.99699	1.62968
3.2788	1.91245
3.58711	2.24429
3.92456	2.58741
4.37177	3.0366
4.78304	3.50086
5.13921	4.10796
5.62245	4.82073
6.15113	5.65718
6.72979	6.52209
7.3626	7.65375
8.05491	8.98176
