#x	Curve1
0.000125261	4.94636e-07
0.000138816	7.05621e-07
0.000150693	1.03685e-06
0.000166995	1.52355e-06
0.000205092	3.10048e-06
0.000222647	4.42297e-06
0.00025188	6.30957e-06
0.000252066	3.01003e-06
0.000252251	1.43596e-06
0.000263004	8.68103e-07
0.000285523	1.20226e-06
0.000323013	1.71509e-06
0.000357956	2.52016e-06
0.000477232	7.53603e-06
0.00051808	1.07505e-05
0.000636271	2.18776e-05
0.000765454	4.58594e-05
0.000865932	6.73863e-05
0.000940079	9.33254e-05
0.00104178	0.000137133
0.00117856	0.000195627
0.00130609	0.000279071
0.00160396	0.00060256
0.00201086	0.00126307
0.00227502	0.00169824
0.00252143	0.00221674
0.00273757	0.00280913
0.00273861	0.00191174
0.00273966	0.00130103
0.00274063	0.000912011
0.0027416	0.000639314
0.00274265	0.000435082
0.00285863	0.000364274
0.00323397	0.000519654
0.00365848	0.000763585
0.00413884	0.00108929
0.00468227	0.00155392
0.00540741	0.00221674
0.00611722	0.0032573
0.0070646	0.00464668
0.00850194	0.00682788
0.0102323	0.00945615
0.0120628	0.013895
0.0145171	0.0204174
0.0167654	0.0291263
0.0189667	0.04155
0.0201699	0.059273
0.0218963	0.0845557
0.0232847	0.124247
0.0242565	0.177244
0.0291976	0.211697
0.0351609	0.162181
0.0450321	0.162181
0.0576713	0.172074
0.0652474	0.231359
0.0738122	0.339961
0.0852409	0.499541
0.102605	0.596643
0.134133	0.67165
0.168234	0.903055
0.23388	1.4502
0.305737	1.68157
0.37564	2.26092
0.481057	2.47091
0.615984	3.03988
0.772703	3.52487
1.58994	4.08723
1.99475	4.08723
2.60853	3.32222
2.95121	4.46684
3.40826	6.37215
4.2754	7.38876
5.36252	9.64463
6.72567	13.3572
8.61159	17.4353
11.2564	22.0946
14.119	27.999
18.4552	35.4813
29.6422	53.7032
37.9574	64.1421
48.608	72.2057
62.2435	86.2411
79.711	94.2509
102.077	106.1
130.72	119.438
167.404	130.531
