#x	Curve1
0.000113678	1.111
0.000136859	1.111
0.0001682	1.111
0.000202499	1.111
0.000248871	1.111
0.000305872	1.07859
0.000368234	1.111
0.00045256	1.111
0.000556213	1.07859
0.000683586	1.07859
0.000822982	1.07859
0.00101142	1.111
0.00124303	1.111
0.00152769	1.111
0.00187753	1.111
0.00230748	1.111
0.00283598	1.07859
0.00348543	1.07859
0.00419617	1.07859
0.00515709	1.07859
0.00633807	1.07859
0.0077895	1.07859
0.0095733	1.07859
0.0117656	1.07859
0.0141652	1.04713
0.0174096	1.01658
0.0213977	0.958139
0.0498287	1.07859
0.0612432	1.01658
0.0737361	0.958139
0.0906217	0.958139
0.109095	1.01658
0.13407	1.07859
0.164767	1.111
0.198348	1.21419
0.238767	1.36683
0.28749	1.21419
0.339041	1.25067
0.383602	1.58489
0.461757	1.83775
0.555852	2.06878
0.655447	2.39883
0.77284	2.95121
0.839213	3.22531
1.01025	3.52487
1.21619	3.73988
1.49453	4.21004
1.76241	4.60105
2.12161	5.02839
2.50248	4.33654
2.71812	3.63078
3.01412	2.78154
3.55448	2.95121
4.10653	2.86512
4.55359	2.26092
5.59653	2.19497
6.73697	2.47091
7.78147	3.03988
9.17571	3.52487
10.5983	4.33654
12.2411	5.49541
14.1394	6.56361
16.6723	7.83945
19.2572	9.64463
22.7062	11.8655
26.2266	14.5977
30.2928	17.9591
34.2753	22.0946
39.5893	27.1823
46.6799	33.4415
53.9188	39.9419
63.5777	47.7058
76.5288	56.9789
90.2408	66.0693
108.627	76.61
130.762	86.2411
157.404	100
