#um	k
0.413225	2.31381
0.417181	2.32006
0.422234	2.32625
0.426373	2.35865
0.431124	2.38448
0.436526	2.40374
0.441509	2.42957
0.446605	2.45539
0.451819	2.47469
0.457755	2.49394
0.463236	2.51977
0.468851	2.5456
0.475246	2.56486
0.481156	2.59069
0.486536	2.61655
0.491342	2.63592
0.497656	2.64214
0.50124	2.66157
0.505611	2.69404
0.512304	2.71333
0.523099	2.80434
0.529469	2.84328
0.540995	2.90815
0.548664	2.92744
0.554788	2.95334
0.56376	2.95953
0.572091	2.97228
0.580674	2.99158
0.587541	3.03055
0.596601	3.05638
0.604898	3.08878
0.614508	3.12114
0.623314	3.15354
0.631249	3.21865
0.640538	3.23798
0.66764	3.43329
0.675432	3.48536
0.684748	3.53087
0.69844	3.49784
0.708406	3.54335
0.733866	3.69961
0.744877	3.74512
0.749706	3.77769
0.764487	3.76431
0.772996	3.80335
0.785213	3.84232
0.799648	3.87472
0.810847	3.92026
0.820404	3.93969
0.836181	3.97863
0.867571	4.15457
0.880774	4.20665
0.898965	4.22598
0.910768	4.27809
0.915604	4.32377
0.930323	4.37585
