# eV	Im(eps)
# Reining, L.; Olevano, V.; Rubio, A. & Onida, G. Physical Review Letters, 2002, 88, 066404
2.01304	0.443
2.1835	0.832
2.31135	1.092
2.45624	1.307
2.57982	2.223
2.62883	3.01
2.69701	4.979
2.75454	7.562
2.78437	10.014
2.83338	13.999
2.86747	16.495
2.89943	18.903
2.93778	20.786
2.98892	22.142
3.1125	22.27
3.23183	21.653
3.36819	24.76
3.51948	33.209
3.60684	42.449
3.70911	51.382
3.77729	53.089
3.8817	46.734
3.98824	31.707
4.15017	16.985
4.2972	13.389
4.4847	14.654
4.71695	16.093
4.92363	14.817
5.13671	13.366
5.22833	12.838
5.33913	11.346
5.44353	9.547
5.56925	8.536
5.74184	8.443
5.8782	8.484
5.99539	7.955
