# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
Air	10?	1064	1	0	-	?	?	?	?	?	?	?	?
Air	10?	1060	1	0	-	?	?	?	?	?	?	?	?
Air	10?	1030	1	0	-	?	?	?	?	?	?	?	?
Air	10?	1026	1	0	-	?	?	?	?	?	?	?	?
Air	10?	800	1	0	-	?	?	?	?	?	?	?	?
Air	10?	532	1	0	-	?	?	?	?	?	?	?	?
Air	10?	515	1	0	-	?	?	?	?	?	?	?	?
Air	10?	400	1	0	-	?	?	?	?	?	?	?	?
Air	10?	355	1	0	-	?	?	?	?	?	?	?	?
Ag (Johnson 1972)	-5.51	800	-31.02135	0.40947	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Johnson 1972)	-5.51	515	-10.6870256263	0.3269484	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Johnson 1972)	-5.51	532	?	?	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Johnson 1972)	-5.51	400	-4.4222	0.21035	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Palik)	-5.51	1064	-51.9906092394	3.3798018696	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Palik)	-5.51	1060	-51.5744379628	3.3509576686	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Ag (Palik)	-5.51	1030	-48.5137789867	3.1351405188	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
#Ag (Palik)	-5.51	800	-27.95334579	1.522940132	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
#Ag (Palik)	-5.51	400	-3.772571	0.6747	SPP-friendly	?	?	?	107.8682	1234	2483	7040	428
Al2O3 (Palik)	8.7	800	3.0976959425	0	?	?	?	?	101.961276	?	?	?	?
Al2O3 (Palik)	8.7	400	3.1933167252	0	?	?	?	?	101.961276	?	?	?	?
#Al2O3 (Malitson 1972)	8.7	800	3.09795201	0	?	?	?	?	101.961276	?	?	?	?
#Al2O3 (Malitson 1972)	8.7	400	3.19158225	0	?	?	?	?	101.961276	?	?	?	?
# Al (Rakic 1998)	-11.7	1030	-90.188	27.695	?	?	?	?	?	933	2730	8000	237
