#x	Curve1
-3.85356	2.60066
9.63391	18.1098
23.1214	38.8002
36.6089	56.9
50.0963	74.9998
63.5838	93.0995
80.9249	103.417
96.3391	118.921
111.753	134.426
127.168	149.93
144.509	162.838
159.923	175.751
179.191	183.474
196.532	196.382
211.946	209.295
225.434	224.805
240.848	242.899
256.262	258.403
269.75	273.913
285.164	289.417
302.505	304.916
317.919	317.829
335.26	330.738
350.674	346.242
368.015	359.15
383.43	372.064
398.844	387.568
410.405	397.901
425.819	410.814
441.233	426.318
458.574	441.817
473.988	457.321
489.403	470.235
504.817	485.739
520.231	501.243
537.572	514.151
552.987	527.065
570.328	539.973
585.742	552.887
601.156	568.391
614.644	583.9
624.277	594.238
637.765	612.337
653.179	627.842
666.667	643.351
682.081	661.445
697.495	676.949
712.909	692.454
726.397	707.963
741.811	723.467
757.225	738.971
772.64	754.475
788.054	769.979
801.541	785.488
816.956	800.992
822.736	806.159
838.15	821.663
853.565	837.167
868.979	852.671
884.393	868.175
899.807	883.679
915.222	899.183
928.709	914.692
944.123	927.606
959.538	943.11
974.952	958.614
990.366	974.118
1009.63	992.203
1025.05	1007.71
1040.46	1023.21
1055.88	1038.72
1071.29	1054.22
1086.71	1069.72
1102.12	1085.23
1115.61	1100.74
1131.02	1113.65
