#Property of Iaroslav Gnilitskyi and Prof. Leonardo Orazi, UNIMORE Italy.																		
# Method to measure: ImageJ > OrientationJ > Distribution > Reitz filter																		
# This file will be used with ./plot.py to automatically generate the correlation between LSPP and LIPSS regularity													Measurements					Remark
#Material	Aperture (deg)	dAngle (deg)	Wavelength (nm)	Pulse (fs)	Energy per pulse	Fluence(J/cm2)	Repetition(kHz)	Scanning(m/s)	SpotDiam(um)	References	Source	Magnification	Min	Max	Min2	Max2		
Ag	49.1	13.3	800	120		?	?	?	?	[Chang2011]	Palik	?	-8.8	62.8	-47.6	77.2		
#Mo	9.1	0.1	800	50		0.07	1	0.0004	30-40	[Cong2015]	Ordal		84	102	84	102.4		
Ni	24.6	0.8	1030	232		?	?	?	?	[Dostovalov]	Palik	?	-27.6	23.2	-25.2	22.4		1026 nm
#Ti	3.6	0.2	1060	100		0.1	1000	2-8 1E6	~12	[Oektem2013]	Johnson	>> 10000	-3.6	3.2	-4	3.6		
Cr	19.8	0.6	1030	500		0.038	250	1.5	80	[RuizdelaCruz2014]	Palik	>> 10000	-20.4	18	-22	18.8		
Cr	12.7	0.1	1030	500		0.038	250	1.5	80	[RuizdelaCruz2014]	Palik	?	-11.6	14	-11.2	14		
#Cu	26.6	1.6	?	?		?	?	?	?	[Tan]	Palik	?	-30.8	19.2	-32.8	23.6		
Cu	24.5	1.1	800	35		?	?	?	?	[Xie2015]	Palik	?	61.2	108	58.8	110		
#Au	44.8	2.2	266	?		?	?	?	?	[Yadavali]	Palik	?	70	155.2	64.4	158.4		DC voltage
Ni	13	0.2	800	90		?	?	?	?	[Yao]	Palik	?	78.4	104.8	78.4	104		
Mo	6	0.2	1030	213	0.583	1.39	600	3	7.34	This work	Ordal 1988	10000						
Ti	11.7	0.1	1030	213	0.56	1.19	600	3	7.34	This work	Johnson	10000	46.8	70	46.4	70		
Al	31.7	1.5	1030	213	0.93	2.207	600	3	7.34	This work	Palik	10000	15.2	75.6	12	78.4		
Au	49.7	0.7	1030	213	?		600	3	7.34	This work	Palik	10000	-16.8	84	-13.6	84.4		
Cu	38.7	2.9	1030	213	1.85	4.4	600	3	7.34	This work	Palik	10000	-24.8	46.8	-27.6	55.6		
Steel	14.6	0.8	1030	213	0.376	0.9	600	3	7.34	This work	Iaroslav	10000	-9.6	18	-10.8	20		
