# Effect of ripple number and magnification on the FFT measurement
# Sample	Magnification	Distance	Angle	AngleDispersion	Remark	Method
Mo	10000	27.54E-6	58.8	10.8	Square right	Fourier grad
Mo	10000	14E-6	60	11.2	Square bottom right	Fourier grad
Mo	10000	10E-6	58.4	11.8	Square bottom right	Fourier grad
Mo	10000	5E-6	57.2	10.8	Square bottom right	Fourier grad
Ti	10000	27.43e-6	56	13.4	Square bottom right	Fourier gradient
Ti	10000	20e-6	54.8	13.8	Square bottom right	Fourier gradient
Ti	10000	15e-6	55.2	13.3	Square bottom right	Fourier gradient
Ti	10000	10e-6	52.0	13.0	Square bottom right	Fourier gradient
Ti	10000	5e-6	54.0	11.6	Square bottom right	Fourier gradient
Ti	2000	38.78E-6	0.0	8.4	Square bottom right	Fourier gradient
Ti	2000	30.0E-6	0.0	8.0	Square bottom right	Fourier gradient
Ti	2000	25.0E-6	0.4	8.4	Square bottom right	Fourier gradient
Ti	2000	20.0E-6	0.0	5.8	Square bottom right	Fourier gradient
Ti	2000	15.0E-6	0.0	7.6	Square bottom right	Fourier gradient
Ti	2000	10.0E-6	0.8	1.6	Square bottom right	Fourier gradient
