#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	1938.661	1003.1377	0.1754378782
-89	1850.8625	915.3392	0.1600828751
-88	1836.9961	901.4728	0.1576577924
-87	1726.6356	791.1123	0.1383569408
-86	1653.6716	718.1483	0.1255963304
-85	1574.9027	639.3794	0.1118205061
-84	1541.7831	606.2598	0.1060282481
-83	1509.991	574.4677	0.1004681555
-82	1419.1556	483.6323	0.0845820315
-81	1430.0571	494.5338	0.0864885853
-80	1409.639	474.1157	0.0829176816
-79	1421.7004	486.1771	0.0850270894
-78	1361.4445	425.9212	0.0744889875
-77	1371.5642	436.0409	0.076258813
-76	1392.5707	457.0474	0.0799326215
-75	1290.5385	355.0152	0.062088299
-74	1246.4014	310.8781	0.0543692
-73	1243.7124	308.1891	0.0538989231
-72	1232.8615	297.3382	0.0520012187
-71	1189.6548	254.1315	0.0444448366
-70	1171.785	236.2617	0.0413196028
-69	1167.2017	231.6784	0.0405180335
-68	1159.3907	223.8674	0.0391519745
-67	1152.5513	217.028	0.0379558378
-66	1145.7352	210.2119	0.036763776
-65	1084.234	148.7107	0.0260078847
-64	1085.2429	149.7196	0.0261843304
-63	1055.436	119.9127	0.0209714276
-62	1046.1583	110.635	0.0193488587
-61	1023.8625	88.3392	0.0154495657
-60	973.9526	38.4293	0.0067208668
-59	968.2419	32.7186	0.0057221274
-58	985.644	50.1207	0.0087655655
-57	983.947	48.4237	0.0084687787
-56	998.2306	62.7073	0.0109668251
-55	996.1951	60.6718	0.0106108382
-54	993.9639	58.4406	0.0102206256
-53	970.3185	34.7952	0.0060853022
-52	935.5233	0	0
-51	970.985	35.4617	0.0062018658
-50	972.2567	36.7334	0.0064242723
-49	988.6989	53.1756	0.0092998343
-48	982.1245	46.6012	0.0081500433
-47	949.0185	13.4952	0.0023601638
-46	945.5419	10.0186	0.0017521442
-45	946.127	10.6037	0.0018544719
-44	985.04	49.5167	0.0086599325
-43	972.1395	36.6162	0.0064037753
-42	963.1792	27.6559	0.0048367163
-41	960.5911	25.0678	0.0043840857
-40	943.4111	7.8878	0.0013794905
-39	958.6596	23.1363	0.0040462873
-38	992.2068	56.6835	0.0099133279
-37	952.6282	17.1049	0.0029914611
-36	1039.957	104.4337	0.0182643188
-35	1020.8488	85.3255	0.0149225023
-34	994.3369	58.8136	0.0102858593
-33	1004.7524	69.2291	0.012107417
-32	999.8229	64.2996	0.011245301
-31	1021.9712	86.4479	0.0151187979
-30	1056.2987	120.7754	0.0211223045
-29	1090.4749	154.9516	0.0270993503
-28	1078.8088	143.2855	0.0250590762
-27	1120.3519	184.8286	0.0323245128
-26	1151.9509	216.4276	0.0378508344
-25	1148.6404	213.1171	0.0372718639
-24	1169.1477	233.6244	0.0408583677
-23	1222.8104	287.2871	0.0502433906
-22	1278.8159	343.2926	0.0600381437
-21	1266.5784	331.0551	0.057897938
-20	1281.4696	345.9463	0.0605022469
-19	1305.4767	369.9534	0.0647008277
-18	1283.2715	347.7482	0.0608173797
-17	1358.8813	423.358	0.0740407117
-16	1385.4517	449.9284	0.0786875858
-15	1418.0603	482.537	0.0843904754
-14	1416.9697	481.4464	0.0841997414
-13	1425.574	490.0507	0.0857045399
-12	1511.6163	576.093	0.1007524028
-11	1566.7959	631.2726	0.1104027149
-10	1578.2316	642.7083	0.1124026945
-9	1654.6082	719.0849	0.1257601316
-8	1707.1918	771.6685	0.1349564315
-7	1699.5305	764.0072	0.1336165535
-6	1830.8213	895.298	0.1565778871
-5	1893.2318	957.7085	0.167492805
-4	1929.028	993.5047	0.1737531712
-3	1965.5452	1030.0219	0.1801396325
-2	2017.8041	1082.2808	0.189279146
-1	2106.8752	1171.3519	0.2048567131
0	2184.0996	1248.5763	0.2183624211
1	2274.3486	1338.8253	0.2341459901
2	2339.1707	1403.6474	0.2454826706
3	2401.3103	1465.787	0.2563502111
4	2446.2158	1510.6925	0.2642036949
5	2509.4304	1573.9071	0.2752592412
6	2604.3943	1668.871	0.2918673949
7	2650.3594	1714.8361	0.2999061912
8	2731.6367	1796.1134	0.3141207074
9	2787.6257	1852.1024	0.3239125748
10	2874.4934	1938.9701	0.3391047912
11	2977.636	2042.1127	0.3571433106
12	3047.2537	2111.7304	0.3693186895
13	3167.0127	2231.4894	0.3902632366
14	3268.2729	2332.7496	0.4079725448
15	3416.8179	2481.2946	0.4339514504
16	3506.322	2570.7987	0.4496047444
17	3624.2292	2688.7059	0.4702254319
18	3671.1531	2735.6298	0.4784319119
19	3894.4463	2958.923	0.5174834651
20	4008.0798	3072.5565	0.5373567289
21	4071.1899	3135.6666	0.5483939993
22	4153.3564	3217.8331	0.5627640268
23	4350.2944	3414.7711	0.597206342
24	4425.063	3489.5397	0.6102825573
25	4635.6797	3700.1564	0.6471171285
26	4784.6006	3849.0773	0.6731617749
27	4894.6611	3959.1378	0.6924101598
28	5014.2603	4078.737	0.7133267597
29	5249.4473	4313.924	0.7544584092
30	5312.9053	4377.382	0.7655565235
31	5406.4927	4470.9694	0.7819239424
32	5621.479	4685.9557	0.819522709
33	5884.8506	4949.3273	0.8655835387
34	5888.5039	4952.9806	0.8662224611
35	5977.04	5041.5167	0.8817064625
36	6123.6025	5188.0792	0.9073386504
37	6243.9731	5308.4498	0.9283901597
38	6208.8018	5273.2785	0.9222390817
39	6261.7627	5326.2394	0.9315013674
40	6305.7217	5370.1984	0.9391893186
41	6493.8901	5558.3668	0.9720979261
42	6417.1924	5481.6691	0.9586843322
43	6504.4434	5568.9201	0.9739435835
44	6567.3052	5631.7819	0.984937429
45	6653.4316	5717.9083	1
46	6650.4692	5714.9459	0.9994819084
47	6606.9619	5671.4386	0.9918729547
48	6467.0537	5531.5304	0.9674045315
49	6458.6562	5523.1329	0.9659359
50	6338.2842	5402.7609	0.9448841458
51	6318.7944	5383.2711	0.9414755917
52	6218.8218	5283.2985	0.9239914708
53	6128.4121	5192.8888	0.9081797971
54	6004.4316	5068.9083	0.8864969555
55	5859.6968	4924.1735	0.8611844125
56	5703.6016	4768.0783	0.833885059
57	5511.4712	4575.9479	0.8002835407
58	5305.9189	4370.3956	0.7643346781
59	5142.4087	4206.8854	0.7357385217
60	5014.332	4078.8087	0.7133392993
61	4829.9414	3894.4181	0.6810913879
62	4742.9976	3807.4743	0.6658858625
63	4633.1069	3697.5836	0.6466671737
64	4432.8657	3497.3424	0.6116471648
65	4234.8677	3299.3444	0.5770194671
66	4148.0298	3212.5065	0.5618324624
67	3990.6113	3055.088	0.5343016781
68	3931.8027	2996.2794	0.5240166933
69	3798.2859	2862.7626	0.5006660565
70	3733.6853	2798.162	0.4893681139
71	3547.0374	2611.5141	0.4567254253
72	3411.3738	2475.8505	0.4329993365
73	3391.0103	2455.487	0.4294379817
74	3244.1907	2308.6674	0.4037608298
75	3119.0803	2183.557	0.381880381
76	3026.7471	2091.2238	0.3657323081
77	2925.1433	1989.62	0.347962908
78	2871.9404	1936.4171	0.3386582992
79	2734.303	1798.7797	0.3145870143
80	2642.293	1706.7697	0.2984954656
81	2542.5085	1606.9852	0.2810442413
82	2508.0012	1572.4779	0.2750092897
83	2438.9612	1503.4379	0.2629349442
84	2343.665	1408.1417	0.2462686749
85	2249.77	1314.2467	0.2298474601
86	2162.3389	1226.8156	0.2145567112
87	2129.6699	1194.1466	0.2088432583
88	2028.8702	1093.3469	0.1912144866
89	2040.0526	1104.5293	0.1931701668
