	Paper / Author					Automatic		Measure with FFT	Laser fluence		SUMMARY		MEASURE on PICTURE				LASER PARAMETERS						Orientation	Calculations						Modeling		Multilayer structure				DETAILS on MATERIAL					ENVIRONMENT DETAILS														
Material	Author	Journal	Year	Path for more details	Wavelength (nm)	Normalized period	Type of structures	Regularity angle (deg)	Peak Fluence (J/cm²)	Pulse Fluence (J/cm²)	Period (nm)	Error (nm)	Min period (nm)	Max	N oscillations (-1)		tau (ps) - pusle duration	Pulse energy (J)		Laser Intensity (W/cm²)	N - number of pulses	Scanning velocity (m/s)	Scanning direction (vs. Pollarisation of E)	Total power	Total (J/cm²)	Erreur abs /2	Erreur	Erreur /2		Calculated NeMax	SPP period	Layer type	Substrate	Thickness (µm)	Thickness of each layer (nm)	Structure atomic	Gap (eV)	Orientation of crystal	Melting threshold (Intensity) (W/m²)	Ablation threshold (W/m²)	Environment (water, gas ... )	Atmosphere type	Pressure atmosphere	Rep. Rate (Hz)	Doping (#/m3) (+p, -n)	Spot diameter X (µm)	Spot diameter Y (µm)	SpotFWHM (µm)	Regularity	Angle of incidence	Polarisation	Polarisation  Type	Orientation (0: perpendicular, 90: paralel, 45:circular)	Focalisation	Lens focal (m)
FeCuNbSiB	Jia	ASS 253	2006		775	0.86			3.18		665.00		600	730	1		0.15			2.12E+13	10			212000000000000	31.80		19.5%	9.8%								Amorphous								1000										Focal plane	
Si	Birnbaum				694	2.88					2000.00		2000.00	2000.00	1		15000000			1.00E+04	?			#VALUE!	#VALUE!		0.0%	0.0%								C.F.C.	1.12	111												75				Focal plane	0.1
FeCuNbSiB	Jia	ASS 253	2006		775	0.79			3.18		610.00		580	640	1		0.15			2.12E+13	20			424000000000000	63.60		9.8%	4.9%								Amorphous																			
FeCuNbSiB	Jia	ASS 253	2006		775	0.74			6.36		574.00		5.58E+03	5.90E+03	10		0.15			4.24E+13	50			2120000000000000	318.00		5.6%	2.8%								Amorphous																			
Si	Bonse	JAP 108 034903	2010		800	0.96			3.80		770.00		730	810	1		0.13			2.92E+13	1			2.92E+13	3.80	20.00	10.4%	5.2%		2.28E+28	Possible with nu_coll=1e15.					C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Bonse	JAP 108 034903	2010		800	0.88			0.42		700.00		650	750	1		0.13			3.23E+12	5			1.62E+13	2.10	25.00	14.3%	7.1%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Bonse	APA 74 19	2001		780	0.88			2.50		685.78		21630	22260	32		5.00E-03			5.00E+14	5			2.50E+15	12.50	4.92	2.9%	1.4%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04		-1.00E+15					0	0	Linear	0		
Si	Bonse	JAP 108 034903	2010		800	0.89			0.42		714.76		14680	15340	21		0.13			3.23E+12	5			1.62E+13	2.10	7.86	4.4%	2.2%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Bonse	JAP 106 104910	2009		800	0.93			0.42		745.53		1.40E+04	1.44E+04	19		0.13			3.23E+12	5			1.62E+13	2.10	5.39	2.9%	1.4%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04		-1.00E+15			25.80		0	0	Linear	0		
Si	Bonse	APA 74 19	2001		800	0.93			0.42		747.11		14050	14340	19		0.13			3.23E+12	5			1.62E+13	2.10	3.82	2.0%	1.0%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04		-1.00E+15					0	0	Linear	0		
Si	Bonse	JAP 108 034903	2010		800	0.85			0.42		681.00		631	731	1		0.13			3.23E+12	10			3.23E+13	4.20	25.00	14.7%	7.3%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Borowiec	APL 82 25	2003		2100	0.76					1600.00						0.09	3.80E-06		0.00E+00	20			0.00E+00	0.00	#DIV/0!		0.0%																											
InP	Borowiec	APL 82 25	2003		2100	0.20			0.58		430.00						0.2			2.91E+12	20			5.83E+13	11.66			0.0%								C.F.C.						Air	1.00E+04							0	0	Linear	0		
Si	Borowiec	APL 82 25	2003		1300	0.81					1050.00						0.09			0.00E+00	20			0.00E+00	0.00	#DIV/0!		0.0%									1.12																		
Si	Borowiec	APL 82 25	2003		800	0.81					650.00						0.09			0.00E+00	20			0.00E+00	0.00	#DIV/0!		0.0%									1.12																		
Si	Borowiec	APL 82 25	2003		2100	0.83			0.58		1738.75		6650	7260	4		0.2			2.91E+12	20			5.83E+13	11.66	38.13	8.8%	4.4%								C.F.C.		100	1500000000000000	5000000000000000		Air	1.00E+04					8.20		0	0	Linear	0		
Si	Hommes	ASS 252	2006		795	0.69			6.50		550.83		3.11E+03	3.50E+03	6		0.19			3.42E+13	25			8.55E+14	325.00	16.25	11.8%	5.9%								C.F.C.	1.12	100	1500000000000000	5000000000000000		Air	1.00E+04	100				26.00				Linear			
Si	Hommes	ASS 252	2006		795	0.74			6.50		585.91		6.38E+03	6.51E+03	11		0.19				50			0.00E+00		2.95	2.0%	1.0%								C.F.C.	1.12	100	1500000000000000	5000000000000000		Air	1.00E+04	100				26.00				Linear			
Si	Bonse	JAP 108 034903	2010		800	0.74			0.42		595.50		540	651	1		0.13			3.23E+12	100			3.23E+14	42.00	27.75	18.6%	9.3%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Daminelli	TSFilms 467 334	2004		800	0.20			1.60		157.07		4.50E+03	4.61E+03	29		0.13			1.23E+13	100			1.23E+15	160.00		2.4%	1.2%								C.F.C.	1.12		1500000000000000	5000000000000000		Water								0	90	Linear	90		
Si	Daminelli	TSFilms 467 334	2004		800	0.17			1.50		136.33		4.05E+03	4.13E+03	30		0.13			1.15E+13	1000			1.15E+16	1500.00		2.0%	1.0%								C.F.C.	1.12					Water								0	90	Linear	90		
Si	Daminelli	TSFilms 467 334	2004		800	0.74			0.20		590.77		7.42E+03	7.94E+03	13		0.13			1.54E+12	100			1.54E+14	20.00	10.00	6.8%	3.4%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04					19.00		0	90	Linear	0		
Si	Hommes	ASS 252	2006		795	0.88			6.50		700.00		6.13E+03	6.47E+03	9		0.19				100			0.00E+00		9.44	5.4%	2.7%								C.F.C.	1.12	100	1500000000000000	5000000000000000		Air	1.00E+04	100				26.00				Linear			
Si	Crawford	ASS 253 4970	2007		1300	0.64			0.20		829.44		1.48E+04	1.51E+04	18		0.09	3.20E-06		2.22E+12	200			4.44E+14	40.00	5.00	2.4%	1.2%								C.F.C.	1.12		1500000000000000	5000000000000000		Vacuum	1.00E+00	1000				25.00				Linear	90		
Fused Si	Ihlemann	APA 54	1992		248	3.11			8.20		772.50		765	780	1		0.5			1.64E+13	70			1148000000000000	574.00		1.9%	1.0%								tetrahedric		-																	
Si	Martsinovkii	Optics and Spectro 105 (10	2008		1250	0.25			1.00		307.63		4789	5055	16		0.08			1.25E+13	300			3750000000000000	300.00	4.16	5.4%	2.7%								C.F.C.	1.12	100				Air	1.00E+04	10						0	0	Linear	0	Focal plane	
Si	Bonse	JAP 108 034903	2010		800	0.72			0.42		575.56		520.8	630.32	1		0.13			3.23E+12	500			1.62E+15	210.00	27.38	19.0%	9.5%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Matsumura	APA 81 1393	2005		780	0.72					561.11		9.94E+03	1.03E+04	18		0.1	0.00		1.00E+07	500			5.00E+09	0.00	4.44	3.2%	1.6%								C.F.C.	1.12		1500000000000000	5000000000000000		Air	1.00E+04					45.00		0	0	Linear	0		
Si	Bonse	JAP 108 034903	2010		800	0.70			0.42		560.60		511.7	609.5	1		0.13			3.23E+12	1000			3.23E+15	420.00	24.45	17.4%	8.7%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04	10	-1.00E+15			25.00		0	0	Linear	0		
Si	Daminelli	TSFilms 467 334	2004		800	0.77			0.45		613.50		6.00E+03	6.27E+03	10		0.13			3.46E+12	1000			3.46E+15	450.00	6.75	4.4%	2.2%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04							0	90	Linear	0		
Si	Reif	MSE B 134 114	2006		800	0.26			0.40		205.00		1.90E+02	2.20E+02	1		0.1			4.00E+12	1000			4.00E+15		7.50	14.6%	7.3%								C.F.C.	1.12	001	1500000000000000	5000000000000000		Vacuum			1.00E+21			100.00				Linear			
Si	Tan	JMM 16 1	2006		775	0.88			0.00		680.00		660	700	1		0.15	8.00E-08		3.02E+09	1000			3.02E+12	0.45	10.00	5.9%	2.9%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04					150.00		0	0	Linear	0		
Si	Tan	JMM 16 1	2006		775	0.88			0.00		685.00		6.50E+02	7.20E+02	1		0.15	1.00E-07		3.02E+09	1000			3.02E+12	0.45	17.50	10.2%	5.1%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04					150.00		0	0	Linear	0		
DLC	Miyaji	Optics Express 16	2008		800	0.17			0.10		136.00		7.58E+02	8.74E+02	6		0.1			1.00E+12	500			500000000000000	50.00		14.2%	7.1%								cubic						Air		10				190.00		0	0	Linear	0	Focal plane	1.00E+00
Si	Tan	JMM 16 1	2006		775	0.94			0.00		725.00		6.90E+02	7.60E+02	1		0.15	1.00E-07		3.02E+09	1000			3.02E+12	0.45	17.50	9.7%	4.8%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04					150.00		0	90	Linear	0		
Diamond	Ozkan	APL 75 23	1999		248	0.29			1.50		71.00		757	805	11		0.38			3.95E+12	100			3.95E+14	150.00		6.1%	3.1%								C.F.C.						Air	1.00E+04							0	0	Linear	0		
Diamond PC	Ozkan	APL 75 23	1999		248	0.78			1.50		194.58		1114	1221	6		0.38			3.95E+12	100			3.95E+14	150.00		9.2%	4.6%								C.F.C.						Air	1.00E+04							0	0	Linear	0		
Si	Tan	JMM 16 1	2006		775	0.94			0.00		725.00		6.70E+02	7.80E+02	1		0.15	1.00E-07		3.02E+09	1000			3.02E+12	0.45	27.50	15.2%	7.6%								C.F.C.	1.12	111	1500000000000000	5000000000000000		Air	1.00E+04					150.00		0	45	Circular	0		
DLC	Miyaji	Optics Express 16	2008		800	0.15			0.15		121.00		570	640	5		0.1			1.50E+12	1000			1500000000000000	150.00		11.6%	5.8%								cubic						Air		10								Linear	0	Focal plane	
DLC	Miyaji	Optics Express 16	2008		800	0.22			0.10		178.50		846	939	5		0.1			1.00E+12	1000			1000000000000000	100.00		10.4%	5.2%								cubic						Air		10								Linear	0	Focal plane	
Si	Martsinovkii	Optics and Spectro 105 (10	2008		1250	0.81			1.00		1011.79		6632	7533	7		0.08			1.25E+13	1200			15000000000000000	1200.00	32.18	12.7%	6.4%								C.F.C.	1.12	100				Air	1.00E+04	10						0	0	Linear	0	Focal plane	
Si	Martsinovkii	Semiconductors  43, 10	2009		1250	0.83			1.00		1033.89		9050	9560	9		1.00E-01			1.00E+13	1200			12000000000000000	1200.00	14.17	5.5%	2.7%								C.F.C.	1.12	100				Air	1.00E+04	10				123.00							
CaF2	Varlamova	ASS 252	2006		800	0.25			80.00		200.00						0.1			8.00E+14	5000			4000000000000000000	400000.00			0.0%								cubic	12	111		300000000000000000		Vacuum	1.5E-011	1000						0	Right	Circular	45		
CaF2	Varlamova	ASS 252	2006		800	0.29			80.00		230.00						0.1			8.00E+14	5000			4000000000000000000	400000.00			0.0%								cubic	12	111		300000000000000000		Vacuum	1.5E-011	1000						0	Left	Circular	45	Focal plane	
BaF2	Reif	ASS 197	2002		800	0.41					326.43		1.13E+04	1.15E+04	35		0.12			9.00E+12	45000			4.05E+17			1.5%	0.7%								cubic	11.3			5000000000000000		Vacuum	1.00E-07	1000						3		Linear			
Si	Reif	MSE B 134 114	2006		800	0.25					200.00						0.1							0.00E+00				0.0%								C.F.C.	1.12	001	1500000000000000	5000000000000000		Vacuum			1.00E+21			100.00				Linear			
Si	Reif	MSE B 134 114	2006		800	0.63					500.00						0.1							0.00E+00				0.0%								C.F.C.	1.12	001	1500000000000000	5000000000000000		Vacuum			1.00E+21			100.00				Linear			
GaP	Chakravarty	JAP 109 084347	2011		800	0.00			1.00		0.00				1		0.045				?							0.0%									2.3															Circular			
GaP	Chakravarty	JAP 109 084347	2011		800	0.28			0.10		225.00		2.10E-07	2.40E-07	1		4.50E-02				?							0.0%									2.3													0		Linear			
GaP	Chakravarty	JAP 109 084347	2011		800	0.76			1.00		610.00		5.70E-07	6.50E-07	1		4.50E-02				?							0.0%									2.3																		
GaAs	Chakravarty	JAP 109 084347	2011		800	0.73					585.00		4.60E-07	7.10E-07	1		4.50E-02				?							0.0%									1.42																		
InP	Chakravarty	JAP 109 084347	2011		800	0.58					465.00		4.00E-07	5.30E-07	1		4.50E-02				?							0.0%									1.35																		
GaN	Chakravarty	JAP 109 084347	2011		800	0.33					265.00		2.50E-07	2.80E-07	1		4.50E-02				?							0.0%									3.4																		
SiC	Chakravarty	JAP 109 084347	2011		800	0.21					170.00		1.60E-07	1.80E-07	1		4.50E-02				?							0.0%									3.37																		
SiC	Chakravarty	JAP 109 084347	2011		800	0.11					88.50		8.30E-08	9.40E-08	1		4.50E-02				?							0.0%									3.37																		
