x,Curve1,Curve2,Curve3,Curve4,Curve5
298.56,0.9161,0.83108,0.79714,0.74464,0.67234
299.53,0.9164,0.83237,0.7981,0.74553,0.67567
299.59,0.91642,0.83244,0.79816,0.74559,0.67587
299.8,0.91648,0.83272,0.79836,0.74578,0.67657
300.18,0.9166,0.83323,0.79874,0.74613,0.67787
307.94,0.91889,0.84258,0.80615,0.75321,0.6958
312.47,0.9201,0.84633,0.80997,0.75726,0.6907
316.35,0.92101,0.84859,0.81276,0.76065,0.68957
318.74,0.9215,0.84969,0.81422,0.76268,0.69327
325.06,0.92253,0.85183,0.81707,0.76774,0.70747
326.7,0.92273,0.85222,0.81761,0.76896,0.71071
328.31,0.9229,0.85252,0.81807,0.77012,0.71327
329.28,0.92299,0.85264,0.81831,0.77078,0.71441
340.93,0.92358,0.8518,0.81983,0.77636,0.71151
340.95,0.92358,0.8518,0.81984,0.77637,0.71151
341.57,0.92359,0.85175,0.81986,0.77652,0.71162
349.98,0.92355,0.85122,0.81986,0.77721,0.72114
354.51,0.92342,0.851,0.81964,0.77677,0.72403
356.43,0.92334,0.8509,0.8195,0.77648,0.72382
366.15,0.92287,0.85038,0.81852,0.77447,0.71733
366.41,0.92286,0.85036,0.81849,0.77441,0.71714
372.62,0.92263,0.84991,0.81766,0.77296,0.71433
379.09,0.92259,0.84986,0.81702,0.77163,0.71614
382,0.92268,0.85035,0.81694,0.77121,0.71804
388.79,0.92325,0.85265,0.81757,0.77097,0.7219
388.82,0.92326,0.85266,0.81758,0.77097,0.7219
389.03,0.92328,0.85274,0.81762,0.77099,0.72189
399.46,0.92529,0.85635,0.8209,0.77367,0.71663
400.11,0.92544,0.85653,0.82116,0.77396,0.7169
400.43,0.92552,0.85662,0.82129,0.77411,0.71705
412.66,0.92829,0.85931,0.82624,0.78067,0.72665
418.22,0.92914,0.86024,0.82807,0.78331,0.73174
419.99,0.92932,0.86051,0.82855,0.78394,0.73334
426.3,0.92955,0.86132,0.8297,0.78521,0.73867
429.86,0.92944,0.86165,0.82991,0.78538,0.74116
434.39,0.92907,0.8616,0.82962,0.78535,0.74329
436.5,0.92882,0.86121,0.82924,0.78531,0.74377
441.18,0.92809,0.85922,0.82781,0.78512,0.74358
447,0.92685,0.85545,0.82496,0.78431,0.74251
450.96,0.92578,0.85255,0.82235,0.78309,0.74391
452.17,0.92542,0.85164,0.82145,0.78256,0.74462
457.67,0.92346,0.84746,0.81672,0.77877,0.74773
458.7,0.92304,0.84668,0.81571,0.77781,0.74813
460.91,0.92208,0.84502,0.81343,0.77551,0.7487
467.37,0.91891,0.83954,0.80567,0.76734,0.74812
471.58,0.91669,0.835,0.79981,0.76145,0.74628
474.19,0.9153,0.8318,0.7959,0.75759,0.74458
476.83,0.91391,0.82835,0.79176,0.75347,0.74234
478.69,0.91295,0.82584,0.78876,0.75044,0.74039
485.81,0.90959,0.81576,0.77674,0.73761,0.72985
488.72,0.90839,0.81149,0.77157,0.73174,0.72542
492.6,0.907,0.80577,0.76445,0.72335,0.72103
493.13,0.90683,0.805,0.76345,0.72215,0.72059
502.3,0.90491,0.79352,0.74597,0.69989,0.71528
506.37,0.90481,0.79001,0.73858,0.68909,0.71264
506.83,0.90483,0.78968,0.73778,0.68786,0.7123
507.6,0.90489,0.78913,0.73646,0.68575,0.7117
514.27,0.90627,0.78571,0.72613,0.66705,0.70511
516.53,0.90709,0.7852,0.72329,0.66069,0.70225
524.91,0.91153,0.78718,0.71685,0.63837,0.68969
525.26,0.91176,0.78726,0.71675,0.6375,0.68912
528.82,0.91429,0.78888,0.71649,0.62912,0.68318
533.99,0.91852,0.79691,0.71839,0.61844,0.67426
536.12,0.92042,0.80082,0.71986,0.61458,0.67057
542.64,0.92665,0.81347,0.72683,0.6047,0.65946
543.05,0.92706,0.81429,0.72739,0.60418,0.65879
550.81,0.93491,0.82998,0.74184,0.59732,0.64724
558.53,0.94213,0.84588,0.76206,0.59887,0.63843
559.14,0.94262,0.84715,0.76377,0.59953,0.63787
559.87,0.94319,0.84866,0.76583,0.60042,0.63721
563.1,0.94549,0.85538,0.77509,0.60577,0.63459
571.51,0.95005,0.87271,0.79939,0.62767,0.62862
574.83,0.95167,0.87928,0.80889,0.6383,0.62561
577.98,0.95339,0.88522,0.81779,0.64897,0.62163
578.95,0.95394,0.88699,0.8205,0.65234,0.62006
586.44,0.95795,0.8997,0.84072,0.67941,0.59992
589.9,0.95947,0.90507,0.84945,0.69239,0.58682
590.59,0.95975,0.90609,0.85112,0.69498,0.58413
594.79,0.9613,0.91212,0.86097,0.71107,0.56748
601.91,0.96357,0.92135,0.87602,0.73879,0.53624
602.55,0.96375,0.92213,0.87728,0.74133,0.53301
608.64,0.96539,0.92904,0.88853,0.76528,0.49754
610.96,0.96596,0.93143,0.89254,0.77425,0.48201
612.58,0.96634,0.93301,0.89524,0.78037,0.47085
616.79,0.96725,0.93668,0.9019,0.79551,0.44141
