# x	Curve1
3.6845	8.27886
3.74832	8.61742
3.79075	8.99872
3.85456	9.33728
3.9077	9.67599
4.3115	12.3435
4.36464	12.6823
4.47098	13.2748
4.5455	13.5708
4.7792	15.2224
4.85372	15.5183
4.89622	15.8148
4.94933	16.1959
5.00244	16.5771
5.05558	16.9158
5.11936	17.2968
5.36386	18.7784
5.41697	19.1596
5.48078	19.4982
5.53392	19.8369
5.58703	20.218
5.64017	20.5567
5.70396	20.9377
5.7571	21.2764
5.88464	22.0808
5.94846	22.4194
5.99089	22.8007
6.05477	23.0544
6.10788	23.4355
6.16101	23.7742
6.2248	24.1552
6.27794	24.4939
6.34176	24.8325
6.36284	25.2141
6.43736	25.5101
6.4905	25.8488
6.54364	26.1875
6.70309	27.1612
6.7669	27.4998
6.80934	27.8811
6.86257	28.0925
6.91568	28.4736
6.96882	28.8123
7.03263	29.1509
7.08574	29.532
7.13888	29.8707
7.2027	30.2093
7.26642	30.6752
7.33024	31.0137
7.38335	31.3949
7.43649	31.7336
7.50027	32.1146
