
# Curve 3 of 5, 100 points
# Curve title: "Air/Si*/Si, t=100 nm"
# x y type
4.28848e+27 1270.75  o
4.3962e+27 1154.88  i
4.50663e+27 1066.65  i
4.61984e+27 999.4  i
4.73588e+27 948.056  i
4.85485e+27 908.786  i
4.9768e+27 878.682  i
5.10181e+27 855.549  i
5.22996e+27 837.723  i
5.36134e+27 823.95  i
5.49601e+27 813.28  i
5.63406e+27 804.996  i
5.77559e+27 798.554  i
5.92067e+27 793.542  i
6.06939e+27 789.646  i
6.22185e+27 786.626  i
6.37814e+27 784.298  i
6.53835e+27 782.521  i
6.70259e+27 781.183  i
6.87096e+27 780.2  i
7.04355e+27 779.504  i
7.22048e+27 779.039  i
7.40185e+27 778.764  i
7.58778e+27 778.643  i
7.77838e+27 778.649  i
7.97377e+27 778.756  i
8.17406e+27 778.947  i
8.37939e+27 779.206  i
8.58987e+27 779.518  i
8.80565e+27 779.872  i
9.02684e+27 780.26  i
9.25359e+27 780.674  i
9.48603e+27 781.106  i
9.72431e+27 781.551  i
9.96858e+27 782.004  i
1.0219e+28 782.463  i
1.04757e+28 782.922  i
1.07388e+28 783.381  i
1.10086e+28 783.836  i
1.12851e+28 784.287  i
1.15686e+28 784.73  i
1.18592e+28 785.167  i
1.21571e+28 785.595  i
1.24624e+28 786.014  i
1.27755e+28 786.423  i
1.30964e+28 786.823  i
1.34254e+28 787.212  i
1.37626e+28 787.592  i
1.41083e+28 787.961  i
1.44627e+28 788.32  i
1.4826e+28 788.669  i
1.51984e+28 789.007  i
1.55802e+28 789.336  i
1.59716e+28 789.655  i
1.63727e+28 789.964  i
1.6784e+28 790.264  i
1.72056e+28 790.555  i
1.76378e+28 790.837  i
1.80809e+28 791.11  i
1.8535e+28 791.375  i
1.90006e+28 791.631  i
1.94779e+28 791.879  i
1.99672e+28 792.119  i
2.04687e+28 792.352  i
2.09829e+28 792.578  i
2.151e+28 792.796  i
2.20503e+28 793.007  i
2.26042e+28 793.212  i
2.3172e+28 793.411  i
2.37541e+28 793.603  i
2.43507e+28 793.789  i
2.49624e+28 793.969  i
2.55894e+28 794.144  i
2.62322e+28 794.313  i
2.68912e+28 794.477  i
2.75667e+28 794.635  i
2.82591e+28 794.789  i
2.8969e+28 794.938  i
2.96966e+28 795.083  i
3.04426e+28 795.223  i
3.12073e+28 795.359  i
3.19912e+28 795.49  i
3.27948e+28 795.618  i
3.36186e+28 795.742  i
3.44631e+28 795.862  i
3.53287e+28 795.978  i
3.62162e+28 796.091  i
3.71259e+28 796.201  i
3.80585e+28 796.307  i
3.90145e+28 796.411  i
3.99945e+28 796.511  i
4.09991e+28 796.608  i
4.2029e+28 796.702  i
4.30847e+28 796.794  i
4.4167e+28 796.883  i
4.52764e+28 796.969  i
4.64138e+28 797.053  i
4.75796e+28 797.134  i
4.87748e+28 797.213  i
5e+28 797.29  i
