fsolve(exp(-.20e-7*(beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi)))^(1/2))-((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi))+.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi))-.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))*((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi))+(.73312875099628112379e-1-.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-128.80498486004121280/Pi^2/(1.+1.196969697*I/Pi))+(-.73312875099628112379e-1+.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2)) = 0,beta,complex)	-13241090.337167775912-2922230.0179663415439*I	9522305.6813800265729+965646.64721437535293*I
fsolve(exp(-.20e-7*(beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi)))^(1/2))-((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi))+.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi))-.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))*((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi))+(.73312875099628112379e-1-.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-135.47865333736177639/Pi^2/(1.+1.196969697*I/Pi))+(-.73312875099628112379e-1+.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2)) = 0,beta,complex)	-12545336.797204435598-3499426.5339540410571*I	9572922.6875561739230+1229486.6754535286860*I
fsolve(exp(-.20e-7*(beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi)))^(1/2))-((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi))+.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi))-.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))*((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi))+(.73312875099628112379e-1-.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-142.49809920049995218/Pi^2/(1.+1.196969697*I/Pi))+(-.73312875099628112379e-1+.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2)) = 0,beta,complex)	-11502686.954787222271-3807613.5350378042950*I	9729303.1876190772839+1449329.9033869526928*I
fsolve(exp(-.20e-7*(beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi)))^(1/2))-((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi))+.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi))-.56873892380945881079*(beta^2-11269194042797.518347*Pi^2)^(1/2))*((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi))+(.73312875099628112379e-1-.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2))/((beta^2-6409229292100.624900*Pi^2*(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi)))^(1/2)/(13.64+.48e-1*I-149.88123793341320300/Pi^2/(1.+1.196969697*I/Pi))+(-.73312875099628112379e-1+.25799252234473236028e-3*I)*(beta^2-(87421887544252.523636+307643006020.82999520*I)*Pi^2)^(1/2)) = 0,beta,complex)	10657341.956702506255+3183869.2951579750041*I	9952492.3864458825854+1591150.1447539477191*I
4245017.8883003389078+150529853.07947523444*I	10601620.505055345708+2580274.4028941206773*I	10201299.085504761618+1648070.6776662303306*I
12286538.679097974729+146468035.29017976160*I	10714636.787093047121+2194219.3423971086100*I	10443922.935160531502+1628124.5403758564049*I
19686485.501748955378+141670716.74975952296*I	10847534.899746253471+1899127.3007595283676*I	10657546.954954387466+1546706.5549435675288*I
26418678.261065872754+136377434.08385981261*I	10961693.426986242931+1646798.0525756660667*I	10828441.530473107369+1423656.2563588394878*I
32548615.042021533698+130764302.62374834074*I	11044972.846388807008+1422754.6162933665819*I	10952479.476207157042+1279377.7909302491284*I
38178718.823525209132+124919732.74587000161*I	11096765.887667643898+1224238.3071563868079*I	11033291.395253174483+1130769.8504634384457*I
