# Depth (nm)	Au_fraction
322.123437701327	0
347.893312717433	9e-05
373.66318773354	9.5e-05
399.433062749646	0.0001
425.202937765752	0.0005
450.972812781858	0.0006
476.742687797964	0.0007
502.51256281407	0.002
528.282437830177	0.0025
554.052312846283	0.004
579.822187862389	0.0045
605.592062878495	0.0055
631.361937894601	0.006
657.131812910707	0.006
682.901687926814	0.006
708.67156294292	0.0055
734.441437959026	0.0045
760.211312975132	0.004
785.981187991238	0.0035
811.751063007345	0.003
837.520938023451	0.0007
863.290813039557	0.0006
889.060688055663	0.0005
914.830563071769	0.0002
940.600438087875	9.5e-05
966.370313103982	9e-05
992.140188120088	0
