# Depth(nm)  concentration Au (1 is 100%)
322.1234         0
  347.8933    0.0006
  373.6632    0.0009
  399.4331    0.0035
  425.2029    0.0045
  450.9728    0.0065
  476.7427    0.0140
  502.5126    0.0100
  528.2824    0.0050
  554.0523    0.0020
  579.8222    0.0027
  605.5921    0.0017
  631.3619    0.0009
  657.1318    0.0007
  682.9017    0.0007
  708.6716    0.0007
  734.4414    0.0007
  760.2113    0.0007
  785.9812         0
  811.7511         0
  837.5209         0
  863.2908         0
  889.0607         0
  914.8306         0
  940.6004         0
  966.3703         0
  992.1402         0
