x,Curve1
0.4897,10.0235
0.6176,3.4662
0.8214,1.5142
1.2116,0.4675
2.4833,0.0565
3.5108,0.0006
3.7091,2.1875
4.0296,4.1315
4.4953,4.8419
5.1564,5.3093
5.7185,4.8047
5.9865,3.8889
6.4993,3.1226
7.5989,2.02
8.6256,1.3099
8.9735,1.6811
9.6052,1.5282
10.0529,2.117
10.2838,1.9404
10.6232,2.1642
10.9466,1.9994
11.2394,1.9641
11.779,2.1291
12.0721,2.3528
12.5806,2.1998
13.3823,2.4826
13.5396,2.764
13.8267,2.9751
14.7518,2.7254
14.9945,2.8623
16.4924,2.4
16.8411,2.3907
17.4401,2.1291
18.3514,2.0498
19.0675,2.4378
19.247,4.2369
19.3437,3.2416
