x,Curve1
0.4607,9.9457
0.6076,3.9994
0.7898,1.8211
1.0353,0.8791
1.2813,0.4317
1.6212,1.0558
1.7297,1.6093
1.9307,2.1509
2.0246,3.3167
2.1182,5.3748
2.1197,5.4009
2.3689,7.5322
2.6934,8.2387
3.0168,8.0504
3.2793,8.439
3.9559,7.1792
4.1709,6.5905
4.3241,5.8016
4.5854,5.26
4.8932,4.8597
5.1401,5.1306
6.0639,4.3653
6.5592,6.061
6.7436,5.6725
6.8519,6.0257
6.9898,5.3428
7.3284,4.919
7.4368,5.39
7.6837,5.6609
7.8678,4.9662
8.1752,4.2126
8.3296,4.4364
8.5297,4.248
8.653,4.2951
9.3456,3.471
9.607,2.9647
10.4079,2.5292
10.701,2.7529
10.8855,2.4233
11.1937,2.3762
11.6563,2.6118
11.9341,2.8709
12.2111,2.5766
12.4883,2.4118
13.0283,2.8711
13.4133,2.5768
14.5225,2.2355
15.2775,2.0354
16.0481,2.0944
16.8801,1.8591
17.3117,1.9298
17.7432,1.8828
18.1749,2.0006
18.3771,3.5078
18.4996,2.8249
18.6534,2.5659
18.9311,2.8014
19.024,3.1547
19.1778,2.931
19.3164,2.8368
