#x	Curve1
0.000138183	3.52347e-06
0.000145843	4.13346e-06
0.000165391	6.67297e-06
0.000177739	7.82842e-06
0.000184234	9.34772e-06
0.000197989	1.09663e-05
0.000201558	1.28641e-05
0.000212728	1.53611e-05
0.000220515	1.73921e-05
0.000232736	2.07681e-05
0.000241246	2.43628e-05
0.00025462	2.85806e-05
0.000263936	3.29383e-05
0.000278568	3.86406e-05
0.000351925	8.14015e-05
0.000371436	9.54939e-05
0.00039202	0.00011403
0.000421288	0.000133775
0.000495331	0.00020845
0.000542037	0.000231882
0.000552631	7.19497e-05
0.000593818	9.38834e-05
0.000649669	0.000126929
0.00071073	0.000180983
0.000750132	0.000212315
0.000791703	0.000253527
0.000835595	0.000297418
0.000914276	0.000367991
0.000982534	0.00043171
0.00111418	0.000722101
0.00119737	0.000847136
0.0012637	0.00102967
0.00135804	0.00120796
0.00143333	0.00141709
0.00154034	0.00166246
0.00162574	0.00195027
0.00177892	0.00228803
0.00194658	0.00263711
0.00220841	0.00293371
0.00245924	0.00545777
0.00278991	0.0062908
0.0028925	0.00618058
0.00340229	0.00663653
0.00372295	0.00764905
0.00414801	0.00881629
0.00430002	0.00963416
0.00487831	0.0109095
0.00553459	0.0119232
0.00651094	0.0113083
0.00779932	0.0103518
0.00884856	0.0113137
0.00950879	0.0137518
0.0100358	0.0164212
0.0104027	0.0192635
0.0109792	0.0230027
0.0111774	0.0265092
0.011797	0.0310985
0.0122262	0.0427935
0.0143796	0.0502103
0.0163063	0.0839846
0.0172103	0.0985241
0.0178392	0.117645
0.0191711	0.138016
0.0209775	0.161918
0.0237987	0.183352
0.0260406	0.218955
0.0284943	0.256875
0.0295374	0.290838
0.0323206	0.341207
0.0341124	0.400277
0.0366592	0.469587
0.0386923	0.541201
0.0438976	0.591489
0.0489086	0.693946
0.0516313	0.669824
0.0544937	0.785785
0.0629593	0.758575
0.0714461	0.670159
0.0810593	0.719557
0.0953439	0.786462
0.10817	0.85954
0.124955	0.95624
0.139232	1.0267
0.163771	1.10244
0.196151	1.14255
0.218546	1.31691
0.243499	1.51787
0.2713	1.74949
0.307804	1.87845
0.389184	1.87913
0.457821	1.84656
0.50104	1.87986
0.568298	2.58716
0.692804	3.68953
0.744542	4.25232
0.800128	4.98862
0.875539	5.74972
0.993246	6.74588
1.12682	7.63885
1.30172	8.20215
1.47681	9.12466
1.70585	10.7058
1.9353	11.9099
2.27617	13.9741
2.58228	15.8239
2.98284	18.2397
3.38398	20.6541
3.90898	23.3888
4.43468	26.4849
