#x	Curve1
0.000153863	3.00486e-06
0.000165329	3.52526e-06
0.000184018	5.89693e-06
0.000197731	6.91821e-06
0.000204914	8.26113e-06
0.000216241	9.6916e-06
0.000228163	1.19911e-05
0.000240775	1.40674e-05
0.000254037	1.77165e-05
0.000272969	2.07848e-05
0.000287991	2.66447e-05
0.000309452	3.12593e-05
0.000314979	3.60254e-05
0.000338452	4.22645e-05
0.000371737	1.13783e-05
0.000399439	1.33489e-05
0.00042148	1.62258e-05
0.00045289	1.90359e-05
0.000486573	2.3553e-05
0.000513469	2.76314e-05
0.000541827	3.29959e-05
0.000582206	3.87104e-05
0.000614331	4.70531e-05
0.000648289	5.52006e-05
0.000684061	6.70971e-05
0.000721874	7.87153e-05
0.000748133	9.23427e-05
0.000803886	0.000108335
0.00083305	0.00013168
0.000895131	0.000154485
0.00112943	0.000395601
0.0012136	0.000464114
0.00130368	0.000605628
0.00140083	0.000710515
0.00147778	0.000943722
0.00158791	0.00110716
0.00167538	0.00139436
0.00180023	0.00163585
0.00189921	0.00213458
0.00204075	0.00250426
0.00219222	0.00326784
0.00235559	0.00383379
0.00253055	0.00491481
0.00271913	0.005766
0.00292095	0.00752411
0.00313863	0.0088272
0.00357667	0.00182145
0.00391349	0.00209939
0.00443799	0.00278877
0.00494448	0.00321442
0.00560976	0.00357602
0.00636486	0.00390837
0.00722092	0.00442584
0.00849918	0.00391011
0.00964543	0.00391087
0.010357	0.00598651
0.0107253	0.0094941
0.0113098	0.0147926
0.0123501	0.0365522
0.0142324	0.104097
0.0150191	0.122122
0.0161361	0.151101
0.0173386	0.17727
0.0193174	0.204327
0.0211385	0.227299
0.0231291	0.261985
0.0262387	0.30198
0.0281994	0.330017
0.0319921	0.373712
0.0356383	0.45429
0.0397056	0.523628
0.0458696	0.582549
0.0520655	0.542761
0.0569765	0.59317
0.0658461	0.572627
0.0747057	0.637044
0.089509	0.62602
0.103457	0.573026
0.119568	0.543456
0.140682	0.553319
0.153895	0.696889
0.165363	0.817583
0.18415	1.12523
0.220548	1.29712
0.26907	1.27471
0.294668	1.04894
0.30577	0.762314
0.323181	0.489347
0.334502	0.943236
0.33472	0.735852
0.346525	1.29803
0.372349	1.52283
0.379035	1.69385
0.407282	1.98721
0.437613	2.37309
0.487556	2.73529
0.523963	3.04274
0.583761	3.50715
0.650353	4.11478
0.737824	4.65957
0.836983	5.46701
0.949555	6.19084
1.05792	7.13575
1.20021	8.08052
1.38634	9.48102
1.60149	10.7366
