#eV	absorption (cm-1)
1.09071	0.826096
1.09691	1.80985
1.09898	4.38451
1.10522	8.86336
1.1094	14.3617
1.1136	21.0448
1.12628	33.4208
1.14126	48.973
1.16301	76.2248
1.18966	128.579
1.22845	235.06
1.26373	373.295
1.29513	504.727
1.31483	604.866
1.33736	724.873
1.36028	834.444
1.3862	960.578
1.41261	1083.76
1.45044	1272.93
1.4921	1465.34
1.51766	1653.26
1.56715	1941.82
1.61216	2280.75
1.66473	2678.85
1.71578	3275.55
1.76506	3770.68
1.78516	4086.52
1.82951	4996.78
1.8679	6233.9
1.89632	7176.21
1.92154	8096.49
1.95078	9320.35
1.97673	9899.95
2.0182	11396.4
2.06834	13385.6
2.13982	16699.7
2.21796	20834.2
2.3829	31782.2
2.56011	50472.7
