#eV	Im(eps)
8.88178e-16	0
0.217984	0
0.435967	0
0.653951	0
0.872055	0.220994
1.09004	0.220994
1.30814	0.441989
1.48277	0.883978
1.74387	0
1.96185	0
2.33267	0.441989
2.55101	1.10497
2.7472	1.10497
2.96554	1.76796
3.14077	3.31492
3.22917	5.52486
3.29565	7.51381
3.34346	15.2486
3.3926	25.4144
3.44005	32.4862
3.44161	35.3591
3.44258	37.1271
3.48786	40.221
3.57096	32.7072
3.65707	30.7182
3.74366	29.6133
3.89673	30.4972
4.00644	31.8232
4.05088	33.3702
4.11736	35.3591
4.18456	38.674
4.2072	40.221
4.22973	41.547
4.2962	43.5359
4.361	42.4309
4.38171	40.442
4.4005	34.9171
4.40122	36.2431
4.40219	38.011
4.44265	32.2652
4.48408	28.2873
4.52515	23.6464
4.61041	20.1105
4.6952	15.6906
4.82491	13.7017
4.95461	11.7127
5.17187	10.3867
5.41129	9.72376
5.49788	8.61878
5.69371	7.9558
5.88941	7.07182
5.95457	6.62983
6.12847	5.74586
6.3243	5.08287
6.54204	4.64088
6.73798	4.1989
6.95573	3.75691
7.15167	3.31492
7.36941	2.87293
7.5656	2.87293
7.78346	2.65193
8.00132	2.43094
