#lambda (eV)	epsRe
0.0421754	11.3235
0.365625	11.3235
0.602664	11.5441
0.775012	11.7647
0.904392	11.7647
1.07674	11.9853
1.22752	12.2059
1.42144	12.4265
1.5719	13.0882
1.74394	13.75
1.91612	14.1912
2.02347	14.8529
2.21674	15.9559
2.47439	17.5
2.64595	18.8235
2.83812	21.4706
2.92342	22.7941
3.00777	25.4412
3.07135	26.9853
3.11289	29.1912
3.15475	30.9559
3.19629	33.1618
3.23577	38.2353
3.2372	36.25
3.25527	41.1029
3.25606	40
3.29681	43.3088
3.38259	43.9706
3.38433	41.5441
3.40923	36.9118
3.45822	28.75
3.48438	22.3529
3.50737	20.3676
3.57349	18.3824
3.68257	16.6176
3.81322	14.8529
3.96575	12.6471
4.07452	11.3235
4.11892	9.55882
4.18535	7.13235
4.23054	4.26471
4.27573	1.39706
4.32075	-1.25
4.3447	-4.55882
4.36832	-7.42647
4.37244	-13.1618
4.39195	-10.2941
4.46107	-16.4706
4.54844	-18.0147
4.59141	-17.7941
4.63358	-16.4706
4.69716	-14.9265
4.7395	-13.8235
4.78167	-12.5
4.86697	-11.1765
4.90947	-10.2941
4.99524	-9.63235
5.05946	-8.97059
5.14539	-8.52941
5.29618	-8.30882
5.46869	-8.30882
5.61915	-7.64706
5.83431	-6.98529
6.02791	-6.32353
6.2001	-5.88235
6.41541	-5.44118
6.5662	-5.22059
6.6737	-4.77941
6.91073	-4.55882
7.06136	-4.11765
7.23355	-3.67647
7.44887	-3.23529
7.6859	-3.01471
7.87982	-2.79412
