#x	Curve1
0.3105	5.193e-05
0.3184	1.8416e-05
0.3316	1.5774e-05
0.3421	1.6396e-06
0.3632	1.4555e-06
0.3842	4.637e-07
0.3947	2.1121e-07
0.4368	2.437e-07
0.4684	1.8748e-07
0.5079	1.5474e-07
0.5842	3.484e-07
0.6789	1.0426e-06
0.8263	2.836e-06
1.0474	5.025e-06
1.3105	5.528e-06
1.4579	4.735e-06
1.5632	4.153e-06
1.6658	3.731e-06
1.8158	4.153e-06
2.0684	4.568e-06
2.2058	5.439e-06
2.3211	5.271e-06
2.5737	7.015e-06
2.6616	8.816e-06
2.7316	1.6544e-05
2.7947	5.193e-05
2.8672	7.832e-05
3.0053	7.974e-05
3.0595	7.487e-05
3.2579	9.2e-05
3.5105	0.00011132
3.7737	0.00011132
4.0263	0.00011132
4.2579	0.00017095
4.4789	0.0002888
4.6079	0.0007905
