# eV	Re(eps)
# Reining, L.; Olevano, V.; Rubio, A. & Onida, G. Physical Review Letters, 2002, 88, 066404
2.00683	17.836
2.22513	19.883
2.41807	22.497
2.59413	26.465
2.72116	31.088
2.83289	33.704
2.92414	30.386
3.06437	24.537
3.14721	22.703
3.34012	24.358
3.52457	25.794
3.59725	23.699
3.71361	12.003
3.79109	1.006
3.90397	-13.874
3.95628	-17.977
3.99349	-18.414
4.14927	-13.748
4.21704	-10.738
4.29325	-8.034
4.43037	-5.157
4.57757	-4.549
4.70951	-4.987
4.85833	-6.648
5.00043	-6.956
5.18311	-7.744
5.30828	-8.576
5.53499	-7.925
5.74141	-6.881
5.92918	-7.234
6.00021	-7.977
