# (eV)	Re(eps)
3.11842	4.62295
3.21711	5.04918
3.25	5.63934
3.28289	6.72131
3.34868	5.18033
3.38158	4.78689
3.44737	4.45902
3.48026	4.13115
3.64474	3.86885
3.875	3.63934
4.10526	3.47541
4.33553	3.37705
4.63158	3.2459
4.96053	3.18033
5.25658	3.08197
5.55263	3.08197
5.88158	3.04918
6.17763	3.01639
6.50658	3.04918
6.83553	3.04918
7.16447	3.04918
7.46053	3.01639
7.78947	2.91803
8.08553	2.78689
8.34868	2.62295
8.61184	2.39344
8.80921	2.13115
8.97368	2.03279
9.17105	1.77049
9.36842	1.5082
9.59868	1.31148
9.82895	1.04918
10.0592	0.819672
10.1908	0.52459
10.3224	0.688525
10.5197	0.95082
10.6513	1.2459
10.9145	1.27869
11.1447	1.08197
11.375	0.852459
11.6382	0.786885
11.9342	0.655738
12.1645	0.42623
12.3618	0.163934
12.6579	-0.131148
12.9868	-0.131148
13.4145	0.0983607
13.7434	0.163934
14.0395	0.0655738
14.3355	0.0327869
14.6645	-0.0327869
15.0592	-0.42623
15.3553	-0.557377
15.6842	-0.622951
15.9803	-0.590164
16.3092	-0.52459
16.6382	-0.491803
16.9342	-0.459016
17.2632	-0.393443
17.5921	-0.393443
17.9211	-0.360656
18.2171	-0.327869
18.5461	-0.295082
18.875	-0.262295
19.2039	-0.229508
19.5329	-0.196721
19.8289	-0.163934
20.1579	-0.131148
20.4868	-0.131148
20.6513	-0.0655738
20.9803	-0.0655738
21.3092	-0.0655738
21.6382	-0.0655738
21.9671	-0.0327869
22.2961	-0.0327869
22.625	-0.0327869
22.9539	-0.0327869
23.2829	-0.0655738
23.6118	-0.0655738
23.9408	-0.0655738
24.2368	-0.0327869
24.5658	-0.0327869
24.8947	-1.77636e-15
25.2237	-1.77636e-15
25.5526	-1.77636e-15
25.9145	0.0655738
26.2434	0.0983607
26.5724	0.131148
26.9013	0.131148
27.1974	0.163934
27.5263	0.163934
27.8553	0.196721
28.1842	0.163934
28.5132	0.163934
28.8421	0.163934
29.1711	0.163934
29.5	0.131148
29.8289	0.131148
30.1579	0.131148
30.4868	0.131148
30.8158	0.131148
31.1447	0.131148
31.4737	0.131148
31.7697	0.163934
