#Wavelength	1.03E-06		
#Nexc	Normalized kappa	Period (nm)	Efficacy factor
0	1.0359	994.304469543392	0.152685
1E+026	1.0359	994.304469543392	0.158382
1E+027	1.04767	983.134002118988	0.235
1.5E+027	1.05958	972.083278280073	0.318
2E+027	1.075	958.139534883721	0.4758
2.5E+027	1.08669	947.832408506566	0.757
2.75E+027	1.08284	951.202393705441	0.93
3E+027	1.0749	958.228672434645	1.09
3.5E+027	1.05548	975.85932466745	1.26701
3.75E+027	1.04768	983.124618204032	1.26812
4E+027	1.03998	990.403661608877	1.225
4.5E+027	1.03212	997.945975274193	1.07439
5E+027	1.02434	1005.5255091083	0.9075
5.5E+027	1.02037	1009.43775297196	0.76686
6E+027	1.02037	1009.43775297196	0.6494
7E+027	1.01654	1013.2409939599	0.483318
1E+028	1.00873	1021.08591991911	0.26
